"name"	"fitted1"	"rep"
"exbD"	-0.0707721797810502	1
"yidJ"	-0.00622070794703102	1
"ECB_00256"	-0.00152271332117889	1
"ECB_03517"	-0.00302187311479064	1
"ascB"	-0.00834931606767076	1
"yhaH"	-0.0474574678774004	1
"livK"	-0.0183458536065384	1
"yhdT"	-0.0179341961297473	1
"yjgK"	-0.0345349334208724	1
"zraS"	-0.00163412025192904	1
"tdcB"	-0.0134721598126411	1
"ybhA"	-0.00150714043462679	1
"metN"	-0.0314667521792793	1
"flgL"	-0.00447819024740178	1
"IR1630"	-0.0267244444201543	1
"IR1037"	-0.00726559900663842	1
"ygeY"	-0.0194508502375087	1
"yaiO"	-0.00695350334570816	1
"yeeV#1"	-0.0334725733777166	1
"ykgM"	-0.00135369816610631	1
"ECB_misc_RNA_23"	-0.00943201929698786	1
"yeeV#2"	-0.0075594852021054	1
"yfgB"	-0.0309654293943407	1
"dgoK"	-0.0136489329786422	1
"IR1621"	-0.00484523793749619	1
"IR3475"	-0.00145824226488707	1
"IR2736"	-0.0103727184835451	1
"IR1750"	-0.0152138763748828	1
"ESCRE2925"	-0.152339975434132	1
"ybhG"	-0.0504222240986913	1
"hypD"	-0.00350629514969608	1
"ydcE"	-0.0550590811700889	1
"yaiA"	-0.043164237905504	1
"uspA"	-0.0124502679158003	1
"garL"	-0.000788465123860729	1
"araD"	-0.00719646529898895	1
"sgcA"	-0.0277182676401304	1
"IR2866"	-0.00810231010466759	1
"IR2114"	-0.0284741912914847	1
"IR3532"	-0.00328175470445032	1
"qor"	-0.0412401255207109	1
"IR3447"	-0.0259487789737831	1
"malS"	-0.00151031414215401	1
"btuB"	-0.0106826714400913	1
"yqaA"	-0.00850855380164096	1
"ECB_02035"	-0.00316324525709444	1
"idi"	-0.00113237445033395	1
"yihA"	-0.0238243870538842	1
"IR58"	-0.0355630773379909	1
"fhuF"	-0.00868394384719066	1
"mglB"	-0.0292130971248878	1
"radA"	-0.0558755669138277	1
"ybjO"	-0.0900063206296492	1
"ygaH"	-0.00828831151604311	1
"dfp"	-0.0416424471777748	1
"yeeA"	-0.00427400108275629	1
"gcvA"	-0.00574124779750733	1
"yahF"	-0.014588539621617	1
"potD"	-0.00453301318466215	1
"IR2066"	-0.0349887846151484	1
"IR1758"	-0.0502078417965603	1
"IR1638"	-0.0327535014148342	1
"ydhK"	-0.00518181947693946	1
"glnB"	-0.0228394455126284	1
"IR1262"	-0.0705847379111451	1
"csgG"	-0.009410092898916	1
"IR869"	-0.0173229700559466	1
"yeiJ"	-0.00257352445755684	1
"IR189"	-0.00492874605975438	1
"insD#2"	-0.0152216584113167	1
"intQ#2"	-0.00403530715653868	1
"ycjF"	-0.0124328053534718	1
"araD"	-0.00752507854199046	1
"yfbV"	-0.0138839945092035	1
"yjeM"	-0.0216840451293542	1
"IR1878"	-0.0309241876173485	1
"sugE"	-0.0412044310053955	1
"ydjJ"	-0.00282646787788298	1
"fecE"	-0.0329327981591505	1
"fimG"	-0.00537283935676318	1
"yifO"	-0.00207141384337351	1
"IR1832"	-0.0067042174938125	1
"sufI"	-0.070748587061843	1
"ygdK"	-0.0121124949880026	1
"IR1395"	-0.00109458265372145	1
"yjfK"	-0.00400117751301019	1
"IR2598"	-0.0236204527580512	1
"ECB_01516"	-0.0375698595894325	1
"IR1873"	-0.123495564769195	1
"fimC"	-0.000750222979555547	1
"yobB"	-0.00622368509161144	1
"ECB_01508"	-0.00702917142329315	1
"ycgE"	-0.00377695084352343	1
"yibF"	-0.0320380321888327	1
"nagD"	-0.0134378896295083	1
"gspF"	-0.00401146847725245	1
"fimC"	-0.000750222979555547	2
"IR1022"	-0.0027008190369968	2
