"name"	"fitted1"	"rep"
"IR702"	-0.0594042981929566	1
"IR2056"	-0.00557827200919695	1
"nudE"	-0.0227647169362461	1
"yciI"	-0.0258811308492047	1
"IR1569"	-0.0269670350718903	1
"hybE"	-0.0610181398909119	1
"IR2143"	-0.014716731644563	1
"IR2928"	-0.00703480973244533	1
"IR315"	-0.0147402116960973	1
"IR888"	-0.0447452780988382	1
"IR1641"	-0.0498756124659976	1
"IR446"	-0.0189131461166847	1
"IR1104"	-0.0536759479724978	1
"abgA"	-0.000519674559390676	1
"ydgC"	-0.00201845400661287	1
"IR448"	-0.00735970093356941	1
"IR612"	-0.010415838222772	1
"ECB_00815"	-0.00557324202345568	1
"IR1193"	-0.0212492262109926	1
"ESCRE3770"	-0.0202213388579263	1
"ykgL"	-0.00298162378843	1
"IR1336"	-0.0293243541604173	1
"yjgH"	-0.00112325545253762	1
"aapP"	-0.0256249934345731	1
"yjgK"	-0.00619445104514824	1
"grpE#1"	-0.026629650445685	1
"IR1826"	-0.0131243105333431	1
"mokB"	-0.0246228413977549	1
"ddpC"	-0.00397973519443027	1
"yciF"	-0.0236276034359209	1
"yhjY"	-0.00424293828157815	1
"IR2598"	-0.0477349663310722	1
"IR863"	-0.0198557703013034	1
"IR1590"	-0.0152487748627615	1
"yqjG"	-0.0107362523180886	1
"IR247"	-0.0191641829213204	1
"argR"	-0.0464357216797711	1
"yihV"	-0.00258278122696357	1
"IR1668"	-0.00256044033111763	1
"ychH"	-0.042079001894175	1
"ilvG"	-0.0852497086934284	1
"sgcC"	-0.0134011976931324	1
"ugpQ"	-0.00464735084592718	1
"ybjS"	-0.0446249066405099	1
"IR1919"	-0.0199207286666344	1
"ESCRE0291"	-0.0583260031141396	1
"sapA"	-0.0267117815222308	1
"yqjC"	-0.00345826214804327	1
"IR233"	-0.0164024979726024	1
"tdcB"	-0.00935458214166649	1
"ybaJ"	-0.0383916263852839	1
"ECB_02875"	-0.000192232812218267	1
"IR1826"	-0.0209181633349077	1
"rnd"	-0.00287522320947096	1
"ascB"	-0.0124138729271315	1
"IR2273"	-0.085529172201354	1
"yeeS"	-0.0487364735225735	1
"IR1054"	-0.0615008973048889	1
"fhuC"	-0.023042003343989	1
"bioC"	-0.1613256614825	1
"thiH"	-0.00665708279557238	1
"ECB_01468"	-0.00673252698472088	1
"mhpA"	-0.0148610184181142	1
"dbpA"	-0.00528390956038096	1
"ESCRE0777"	-0.00767985632717721	1
"fecE"	-0.0326480499740301	1
"IR642"	-0.00344649915266678	1
"IR3060"	-0.0545348304754592	1
"yjhP"	-0.0100886345661759	1
"ESCRE0522"	-0.00504311903474208	1
"IR3128"	-0.0128240615180583	1
"yjfC"	-0.0315792357469789	1
