"name"	"fitted1"	"rep"
"IR2393"	-0.0338589923439957	1
"yqcC"	-0.011752993444249	1
"fepB"	-0.0154455562474367	1
"IR306"	-0.00437227485289421	1
"ygfY"	-0.05036609488614	1
"ybiA"	-0.00804811441704947	1
"IR1917"	-0.0348046075748854	1
"IR364"	-0.0189686241700548	1
"ampD"	-0.0173358497165778	1
"IR1179"	-0.0445206777753851	1
"murB"	-0.0185644608407188	1
"yqeA"	-0.00426037917839868	1
"acrF"	-0.0043703123664629	1
"yahI"	-0.0192358084982073	1
"ydhQ"	-0.0217094785747029	1
"ECB_03521"	-0.00565136288226049	1
"glgX"	-0.000550078249077738	1
"flk"	-0.0025181891847432	1
"nikA"	-0.00826142095907604	1
"ygbI"	-0.016795191389837	1
"ECB_01990"	-0.00706912756329975	1
"yeaW"	-0.000339461840807849	1
"ECB_02039"	-0.0544410755155022	1
"ycaK"	-0.0145453173626011	1
"torC"	-0.00276071897753339	1
"yibA#2"	-0.00462086962385679	1
"yfdC"	-0.0100856614432124	1
"IR1144"	-0.0078000129550901	1
"hrpB"	-0.000350098013272701	1
"IR1218"	-0.0264429978489591	1
"ycdZ"	-0.0029617931286978	1
"IR2503"	-0.0319346080552459	1
"yjaH"	-0.0287167466240059	1
"yifK"	-0.0114275123208255	1
"IR2368"	-0.00653472509187386	1
"IR1327"	-0.00874592022695814	1
"ytfP"	-0.0106549310921453	1
"rpsQ"	-0.0563970954811273	1
"IR3038"	-0.0186258787286719	1
"csiE"	-0.00169521174605278	1
"IR1536"	-0.00428623013905903	1
"yfeT"	-0.0245499090796875	1
"IR685"	-0.0113635340640006	1
"yjfO"	-0.00535826418875654	1
"nagA"	-0.0122895064328397	1
"yeaS"	-0.0428838829687252	1
"yibK"	-0.0509493707950685	1
"bioH"	-0.0656818966860348	1
"tfaE"	-0.0236005326593066	1
"ybgP"	-0.00390831765183348	1
"yebQ"	-0.0146593190852974	1
"yraN"	-0.0369833225210239	1
"IR1322"	-0.00522991823792358	1
"mdtK"	-0.00782240515429212	1
"yjiD"	-0.00382357938099409	1
"frlD"	-0.00107347793693272	1
"yciO"	-0.00418550715616553	1
"yiaK"	-0.0134706505818412	1
"ydhA"	-0.0250160653546529	1
"menE"	-0.00738408641811378	1
"IR3135"	-0.0749262974895471	1
"gspF"	-0.00056674618126682	1
"ansA"	-0.0230372809983801	1
"yaiY"	-0.00227905185925508	1
"IR2366"	-0.0399925678288783	1
"yahK"	-0.0154721560011537	1
"yeeX"	-0.0322926974332936	1
"IR1923"	-0.000976716303294908	1
"srlE"	-0.0015030699269526	1
"IR1465"	-0.00519398709198713	1
"trxB"	-0.0117863417345525	1
"livH"	-0.012073363158845	1
"ECB_02803"	-0.00584264054758988	1
"IR1146"	-0.0068925057073678	1
"rutG"	-0.00956127085844739	1
"yfiL"	-0.0151975864558763	1
"soxR"	-0.000123465328154399	1
"gcp"	-0.0104454153305674	1
"IR245"	-0.00931824636404966	1
"setA"	-0.01668054714396	1
"allC"	-0.00340171830111701	1
"IR128"	-0.00352479740915851	1
"IR276"	-0.0495695148372233	1
"glpK"	-0.0455991771322918	1
"ypdE"	-0.0189437209737633	1
"ECB_misc_RNA_54"	-0.0137077443613341	1
"tap"	-0.00318318344892745	1
"fecD"	-0.0337032877740043	1
"mdh"	-0.060609043331629	1
"insI"	-0.00339097119737009	1
"ECB_01382"	-0.0119774825586304	1
"yihP"	-8.72959231655907e-05	1
"prc"	-0.0290197057407547	1
"fruR"	-0.0124633782559982	1
"mcrB"	-0.00543636939993102	1
"ygjI"	-0.0158155192948842	1
"IR1413"	-0.0631643271991045	1
"fecE"	-0.0622390380376467	1
"IR662"	-0.000849887933504716	1
"IR3112"	-0.0146798104137761	1
"W"	-0.0594435384250271	1
"ESCRE2996"	-0.0112507878861042	1
"IR2162"	-0.0147891098844474	1
"IR1190"	-0.0162887624452459	1
"ydcJ"	-0.0550619530840846	1
"IR845"	-0.114858519966017	1
"yihS"	-0.00702312359516441	1
"IR2589"	-0.0552927671664829	1
"IR3584"	-0.0122736596945009	1
"yiaC"	-0.0121708325316365	1
"frmC"	-0.0114221664822216	1
"recJ"	-0.018653170879324	1
"purR"	-0.0142427394563941	1
"IR3408"	-0.0111507864358228	1
"ydgH"	-0.00318311802387413	1
"rutC"	-0.0183789457329681	1
"ydcS"	-0.0227246692361927	1
"ibpA"	-0.0211917382318895	1
"copA"	-0.00999062426570787	1
"uvrB"	-0.00148052774699106	1
"ybgQ"	-0.00215407261694636	1
"yiiD#1"	-0.0817469185450194	1
"IR525"	-0.0306433429963609	1
"IR2617"	-0.0171419976482519	1
"yjbD"	-0.00295047872635431	1
"IR2317"	-0.00278440634387279	1
"IR855"	-0.0112013518222879	1
"gnd"	-0.104284230923233	1
"ECB_00732"	-0.00860081277678081	1
"cyoE"	-0.0100757044552928	1
"ECB_01487"	-0.00133932213136056	1
"asnA"	-0.00671790327219126	1
"ECB_02034"	-0.00327829166426316	1
"yfbW"	-0.0582185426388336	1
"bglF"	-0.00466905981621629	1
"proK"	-0.0778915791674519	1
"IR2221"	-0.0419930690496277	1
"IR1267"	-0.00489228411030563	1
"IR2033"	-0.0514788069411266	1
"IR3000"	-0.0158018522540345	1
"pnp"	-0.0512994097007651	1
"IR3259"	-0.0129089437142568	1
"yhfA"	-0.025519170170883	1
"cdh"	-0.0298528088719219	1
"IR2932"	-0.0046278841055904	1
"nudG"	-0.0323967643663861	1
"recO"	-0.0333555108363216	1
