"name"	"fitted1"	"rep"
"fecI"	-0.0819004579863232	1
"IR3667"	-0.020465075427259	1
"yfdV"	-0.0423837284612139	1
"srlD"	-0.0111525924678339	1
"ypdD"	-0.0033149570471573	1
"yjiX"	-0.00611042713084529	1
"IR3410"	-0.0304679295944585	1
"hrpB"	-0.00654116219256465	1
"metJ"	-0.000258469756415429	1
"IR1297"	-0.0285264130152106	1
"hflC"	-0.0088639479470547	1
"yobB"	-0.0260073536235865	1
"aer"	-0.00715874934545944	1
"asnB"	-0.00929383249829625	1
"dgoA"	-0.0168510818648631	1
"ymcC"	-0.00250516339289694	1
"phnC"	-0.00503294187546676	1
"yecR"	-0.0337400984925418	1
"glnH"	-0.00516168696394093	1
"napB"	-0.0380153260163745	1
"ybhL"	-0.0237447302891352	1
"trmA"	-0.03096021060972	1
"IR685"	-0.0100996574995241	1
"ybgP"	-0.0200462458746803	1
"IR2912"	-0.00289651401246327	1
"IR1225"	-0.00902083818867606	1
"zraP"	-0.0208882281455446	1
"yhjH"	-0.00877323103936714	1
"yhcM"	-0.0231035652283031	1
"fieF"	-0.0471740842606944	1
"yjdC"	-0.00182614355077808	1
"IR2376"	-0.0424156992329598	1
"ESCRE0837"	-0.00336444842813657	1
"IR2353"	-0.0395175507998102	1
"IR987"	-0.00767241747341021	1
"ESCRE4249"	-0.00342369614945014	1
"creA"	-0.0567563176425624	1
"ybiR"	-0.000565090522533027	1
"ytfL"	-0.030257876948929	1
"csgG"	-0.0210019869480311	1
"IR788"	-0.00641514419878344	1
"IR270"	-0.0280899694807351	1
"IR2159"	-0.0151753737402089	1
"ECB_04240"	-0.0201078651854246	1
"IR2617"	-0.00385084634484609	1
"ESCRE3628"	-0.00409534197171002	1
"IR2286"	-0.0186534027277663	1
"yifB"	-0.0041683350187677	1
"csiR"	-0.00557721460270037	1
"sspA"	-0.0541655758919833	1
"hsdR"	-0.00505152411371285	1
"agaV"	-0.00948059721451472	1
"yqeG"	-0.00470501265014707	1
"ESCRE4542"	-0.0525025936978943	1
"IR1053"	-0.0185563352276347	1
"gltB"	-0.0263774587459655	1
"ygcP"	-0.00535033311085142	1
"nudF"	-0.0136272204785412	1
"IR1341"	-0.0429231074626	1
"ygbK"	-0.0021486239585658	1
"IR2523"	-0.00888469461123275	1
"yjbI"	-0.021962174299935	1
"IR167"	-0.0473411858514371	1
"IR3419"	-0.00729267772479243	1
"IR241"	-0.00266570848267148	1
"IR1827"	-0.00979537874928454	1
"feaR"	-0.0824502548343986	1
"ycgK"	-0.00436224721177787	1
"IR2330"	-0.00217762440969526	1
"nudC"	-0.000468897988025485	1
"IR2468"	-0.0142826040125602	1
"IR1958"	-0.0119860964803736	1
"prpB"	-0.0083450024466907	1
"mgsA"	-0.0124289002840931	1
"ycdX"	-0.00124148907583935	1
"ECB_01389"	-0.00157153219821812	1
"wcaB"	-0.00412974431618431	1
"IR2542"	-0.0624270996157942	1
"amiC"	-0.00262319452207351	1
"pyrH"	-0.0834731628646302	1
"sgcB"	-0.154431113668045	1
"IR1509"	-0.0118979694687404	1
"IR734"	-0.00319482292988476	1
"waaY"	-0.0236941353733226	1
"IR3192"	-0.0147878925909563	1
"ydaF"	-0.00743578205421975	1
"yraQ"	-0.00727302665495042	1
