"name"	"fitted1"	"rep"
"queA"	-0.0340133486354755	1
"ybcN"	-0.0096806224739475	1
"IR1231"	-0.0230586478171498	1
"yncI"	-0.0236875383394005	1
"yjeI"	-0.00217945293225146	1
"IR70"	-0.0173445794277196	1
"yqeA"	-0.0165641247242015	1
"pgpB"	-0.00810244095906675	1
"gatC"	-0.00224115915826755	1
"metC"	-0.209232841437469	1
"acrR"	-0.0220221398896344	1
"IR467"	-0.0178930888958444	1
"IR3583"	-0.0136181723360679	1
"tdcG"	-0.00630370847323682	1
"IR224"	-0.109891068722379	1
"amn"	-0.00504919164096936	1
"atoE"	-0.00459393904480543	1
"IR20"	-0.0120322217912621	1
"yghG"	-0.000726772488637253	1
"yhiJ"	-0.013355668713671	1
"feoA"	-0.000190200178543885	1
"ulaA"	-0.00254551011453977	1
"yifB"	-0.00638926417953623	1
"ESCRE0287"	-0.112233974211977	1
"IR666"	-0.0283919760856115	1
"ompL"	-0.0131134050033966	1
"ygiS"	-0.00474169627850013	1
"yggN"	-0.0216515887810694	1
"envY"	-0.00787064590090327	1
"mhpA"	-0.0148610184181142	1
"ybcQ#1"	-0.0356922754531941	1
"yaiA"	-0.00420784057703985	1
"frmB"	-0.00885430981050266	1
"yjdI"	-0.0112704359410145	1
"kdpA"	-0.0131209300878251	1
"ECB_04144"	-0.00846257008171063	1
"IR2478"	-0.0175211779478154	1
"IR1837"	-0.00274044485102667	1
"ybbN"	-0.0117949845047742	1
"IR1336"	-0.0110542116014692	1
"IR201"	-0.0233967345896983	1
"pheA"	-0.0137147089799984	1
"insB#16"	-0.0267646514503667	1
"IR2675"	-0.00175273693023437	1
"yihQ"	-0.00238517435200473	1
"eutL"	-0.00182041778816139	1
"ECB_03540"	-0.00340916945882263	1
"uspE"	-0.132255623407346	1
"emrE"	-0.00276054713565722	1
"xylG#1"	-0.010685698734799	1
"IR62"	-0.0363767885230731	1
"ydhZ"	-0.0364245428260013	1
"ESCRE4513"	-0.0215504495229957	1
"gltD"	-0.00520025592659728	1
"cld"	-0.00706422494675155	1
"ECB_01343"	-0.049452475436901	1
"exuT"	-0.00387539582317393	1
"cynS"	-0.00450182744014974	1
"ybjR"	-0.000769906930015435	1
"IR102"	-0.0406209907752893	1
"IR1647"	-0.0298754971806468	1
"intD"	-0.00225874603724551	1
"tadA"	-0.0171037035268231	1
"IR3625"	-0.00357795475216958	1
"ilvN"	-0.0504167090009815	1
"hrpA"	-0.0115288915885478	1
"potH"	-0.00871772429740534	1
"IR2819"	-0.00162740897155614	1
"IR1106"	-0.0353111965821206	1
"ESCRE4497"	-0.0177909022651695	1
"fes"	-0.015669289638376	1
"fucO"	-0.000407075712927736	1
"IR236"	-0.0172961184133586	1
"yfbU"	-0.00954160004050117	1
"sgcQ"	-0.0187251030302367	1
"yggJ"	-0.0153817840984537	1
"moaA"	-0.0179031175032401	1
"rph"	-0.136346066066755	1
"cspD"	-0.0799100164968872	1
"glgA"	-0.0387541219955306	1
"IR595"	-0.0370133032138898	1
"nth"	-0.00645723535873881	1
"yceK"	-0.00979419710583357	1
"mglA"	-0.0111373471521801	1
"rpmG"	-0.0762024417009298	1
"IR2397"	-0.0155993695433061	1
"flgI"	-0.00422211367150424	1
"ybcK"	-0.0255644617382773	1
"ECB_00515"	-0.0301706015556463	1
"IR2826"	-0.00467294617917846	1
"gadW"	-0.0107018663449549	1
"IR605"	-0.0328659659094218	1
"IR1325"	-0.0528256806346684	1
"yihL"	-0.0161342981949675	1
"treR"	-0.00453291573075972	1
"yfbV"	-0.0272643708623255	1
"IR3263"	-0.0299931357700512	1
"citC"	-0.00685529137819636	1
"proB"	-0.000798369405194324	1
"ECB_03520"	-0.00404540534565344	1
"lacI"	-0.0057665981268752	1
"yhbY"	-0.00743562044678552	1
"IR1263"	-0.00978200488625	1
"htrC"	-0.000942492495867089	1
"dbpA"	-0.00528390956038096	1
"glnB"	-0.00158844399308975	1
"stpA"	-0.000344859867492941	1
"hycF"	-0.0210426045608601	1
"IR2154"	-0.0184148052073878	1
"dinI"	-0.0433791100403064	1
"cbrC"	-0.000540593204643069	1
"ycaM"	-0.00431764529339116	1
"ysaB"	-0.00793839493011102	1
"IR459"	-0.000800711530918568	1
"yggR"	-0.000930017318681863	1
"IR2521"	-0.0218566391371555	1
"speB"	-0.00560859838890887	1
"IR2974"	-0.00958469822546653	1
"IR1540"	-0.0368445328143827	1
"creC"	-0.000631735503888392	1
"IR2928"	-0.00703480973244533	1
"IR2593"	-0.00562101039932402	1
"IR722"	-0.00922242801648758	1
"ybgO"	-0.0146401274773798	1
"npr"	-0.0266904511294408	1
"IR3479"	-0.00801496701787335	1
"pabA"	-0.174202003881331	1
"gcl"	-0.0109330657829043	1
"spy"	-0.0168238657689528	1
"speB"	-0.0194513368820127	1
"ydeO"	-0.0413226101033336	1
"IR1393"	-0.0083317473905744	1
"IR1925"	-0.00398716800886129	1
"IR752"	-0.0184922265012882	1
"smg"	-0.0111595383052034	1
"yceI"	-0.0573183848906458	1
"IR1664"	-0.00252221281051815	1
"IR1162"	-0.00122843815075742	1
"ygcO"	-0.0261330744961294	1
"chbF"	-0.00154154181570915	1
"IR2971"	-0.0319645577629023	1
"basR"	-0.00442368247154694	1
"ycaK"	-0.00427888368398149	1
"IR448"	-0.00735970093356941	1
"apaG"	-0.048077476430708	1
"fieF"	-0.116495867568128	1
"mobB"	-0.00323816517973614	1
