"name"	"fitted1"	"rep"
"gltB"	-0.00836406776807059	1
"yejE"	-0.0100723764934652	1
"yfgF"	-0.000692566144402802	1
"ysgA"	-0.0159463230613162	1
"yaiC"	-0.00722370282261376	1
"ECB_03278#2"	-0.00443895259450821	1
"IR2365"	-0.0372151284541755	1
"ydcJ"	-0.00720527776467971	1
"ECB_misc_RNA_49"	-0.0120339452766573	1
"moaD"	-0.00169846172266008	1
"hcaC"	-0.0231241745580602	1
"ECB_04076"	-0.00454307549411444	1
"trkA"	-0.0146056843297742	1
"yfaU"	-0.0125284433411444	1
"yghW"	-0.0401758382158255	1
"cusR"	-0.0043630132343396	1
"sbp"	-0.019663498156249	1
"ynfK"	-0.00058641733839663	1
"ESCRE4023"	-0.0236142139010848	1
"frc"	-0.00814542120990227	1
"IR2366"	-0.00973949029629581	1
"nlpE"	-0.0101816683357764	1
"yhhQ"	-6.16151331362302e-05	1
"IR3004"	-0.0375569607867206	1
"ykgF"	-0.00874649208406126	1
"yieK"	-0.00758090660700729	1
"hupA"	-0.0400772632384615	1
"IR2567"	-0.00536680343048966	1
"yfbG"	-0.00344758747231623	1
"mobA"	-0.0130780011876494	1
"yfeT"	-0.00978231201787372	1
"IR3655"	-0.00250353604163065	1
"ydiV#2"	-0.018860518358746	1
"yqhC"	-0.0159147317866814	1
"ECB_00503#1"	-0.0130458285273133	1
"yhcN"	-0.0135901113696017	1
"ECB_03516"	-0.00184658161543547	1
"IR842"	-0.0143981677942765	1
"IR3464"	-0.0348476630109897	1
"otsB"	-0.00986324412475539	1
"dinD"	-0.0443763310357987	1
"rssA"	-0.00478091336149125	1
"csdA"	-0.0190844867834361	1
"cpxR"	-0.0070725754245396	1
"dppC"	-0.000309716964134927	1
"yhhA"	-0.0040199971383597	1
"hcaR"	-0.0293175221656596	1
"yehR"	-0.00113518589023816	1
"ymjA"	-0.0169589140750039	1
"prmA"	-0.00136331040966155	1
"yjjM#2"	-0.00265286679356229	1
"IR1825"	-0.0190570450022196	1
"ECB_00212"	-0.00296591167319097	1
"IR801"	-0.0173026168872336	1
"IR2708"	-0.033593832897344	1
"puuR"	-0.163360185788403	1
"yghD"	-0.0057598110692699	1
"yhjB"	-0.047597370033382	1
"yqaA"	-0.0247321467281136	1
"ccmH"	-0.0273312123259366	1
"fdnI"	-0.0119078100256172	1
"rnk"	-0.00868780679506898	1
"ompC"	-0.0133369807971467	1
"IR2843"	-0.014436188988006	1
"yqiH"	-0.0110037436040654	1
"ybhR"	-0.00611242921886503	1
"IR3381"	-0.0222677434461413	1
"flgB"	-0.0454825509567397	1
"IR2940"	-0.0148358502978483	1
"ECB_01990"	-0.0201696190077873	1
"IR533"	-0.0122410491384391	1
"yaaI"	-0.0181278168461711	1
"IR2762"	-0.0336560057712322	1
"ECB_03526"	-0.0257478430543844	1
"yiiS"	-0.0240477209759728	1
