"name"	"fitted1"	"rep"
"xylR"	-0.00761213905792849	1
"IR134"	-0.0289253467110497	1
"yidZ"	-0.00165776841346202	1
"ytjC"	-0.00970831915038044	1
"yeeE"	-0.00140525513644405	1
"ycbS"	-0.00684457262899551	1
"speE"	-0.0203303534962844	1
"IR2574"	-0.0316212214648683	1
"IR1801"	-0.0252939117199163	1
"ECB_00516"	-0.00720391757243597	1
"yhbW"	-0.0331393297924951	1
"IR1834"	-0.00465687369322856	1
"yfeT"	-0.0234320824932471	1
"pspE"	-0.0438697023151624	1
"IR325"	-0.00585077272178027	1
"phoR"	-0.0060406702355326	1
"tynA"	-0.00393740034307239	1
"IR2826"	-0.00464360688709952	1
"nrfG"	-0.0505455253031677	1
"yqgA"	-0.00734268195899726	1
"ysaB"	-0.0119011244940164	1
"hyaA"	-0.00140782158702925	1
"lacI"	-0.0173451851030135	1
"rsmC"	-0.0246066643722934	1
"potI"	-0.000853837213414753	1
"yfiM"	-0.0271987506265098	1
"ybgP"	-0.00390419124359643	1
"mscL"	-0.0121409464222646	1
"iclR"	-0.0146216554079393	1
"glgP"	-0.014065944671222	1
"ptsA"	-0.00382965451612633	1
"IR2523"	-0.00888469461123275	1
"hscA"	-0.00625074408246086	1
"ompT"	-0.0541549827663133	1
"IR1009"	-0.0163132731574355	1
"sgcA"	-0.0277182676401304	1
"yjaG"	-0.0561916564998193	1
"yobH"	-0.00378262375216599	1
"ycbR"	-0.0153962419170097	1
"IR852"	-0.0224336792359669	1
"gloA"	-0.00339034837289108	1
"ESCRE3916"	-0.0180385938583147	1
"IR2162"	-0.0597939815504992	1
"yahG"	-0.0218024754434185	1
"ygjF"	-0.00897849147880759	1
"kduI"	-0.00634425992305747	1
"IR1258"	-0.0108131025881975	1
"IR1170"	-0.0113603557486533	1
"aes"	-0.00751002819758584	1
"cpsG#2"	-0.00773762975063722	1
"IR363"	-0.0319943185678182	1
"ygfG"	-0.00526066141394601	1
"IR1827"	-0.00979537874928454	1
"ybdR"	-0.0249752192462949	1
"ybcQ#1"	-0.0171195249389358	1
"ECB_03715"	-0.00141175482994208	1
"IR134"	-0.00087027493124187	1
"metB"	-0.125702708957374	1
"IR2285"	-9.58491450638471e-05	1
"ydbH"	-0.0029738654616046	1
"nagC"	-0.00453116537141595	1
"yjfC"	-0.0022196744593075	1
"ygaU"	-0.0093248938683149	1
"ydiK"	-0.00860245045615219	1
"arsB"	-0.00544200860349481	1
"IR2769"	-0.0374162815057565	1
"mhpT"	-0.0133398532714998	1
"gapC"	-0.00560226594546378	1
"deaD"	-0.0249408712919351	1
"yegT"	-0.00745998435919067	1
"IR369"	-0.0249348300260829	1
"IR69"	-0.00611631089023151	1
"ydhP"	-0.012389895206736	1
"gspI"	-0.00488348370635919	1
"yghF"	-0.0150077946964429	1
"fldB"	-0.0276202399352511	1
"ECB_03779"	-0.0043517758495947	1
"IR3070"	-0.0436880653180311	1
"icd"	-0.00690656683361468	1
"ECB_04224"	-0.00478950227289731	1
"IR2888"	-0.0292322131137759	1
"yfcH"	-0.007042912146625	1
"purT"	-0.00559568002132654	1
"yceK"	-0.00105169134750979	1
"pnuC"	-0.020952038185465	1
"hydN"	-0.00770899455628841	1
"blc#2"	-0.00628462909526663	1
"yhjG"	-8.8082323704315e-05	1
"cmtA"	-0.00885498516628465	1
"ydbD"	-0.0331447336645152	1
"ycgK"	-0.00436224721177787	1
"IR1163"	-0.0643528012691016	1
"IR2335"	-0.00634694274425669	1
"yphC"	-0.0101564745148169	1
"yqjG"	-0.00663125040114517	1
"yahN"	-0.00533925300449816	1
"IR3277"	-0.0198230996994779	1
"yhbH"	-0.0215819766558592	1
"pheP"	-0.0373439901610206	1
"IR1803"	-0.00721743064597234	1
"IR2971"	-0.00139170213475905	1
"yliI"	-0.00964518287086944	1
"adiY"	-0.0251766455367065	1
"IR527"	-0.0043743216553928	1
"ddg"	-0.0124371569575158	1
"IR3387"	-0.024050643055876	2
"hcaB"	-0.000479282003383149	2
"yciI"	-0.0107128045914464	2
"cheR"	-0.00318337373924526	2
"IR1644"	-0.0351953795539549	2
"chpR"	-0.00795612069572384	2
"sufI"	-0.0430338141066878	2
"IR1817"	-0.028022558260612	2
"cmr"	-0.00447487657145859	2
"ybaO"	-0.0264138586703735	2
"leuD"	-0.069579480789502	2
"nrfD"	-0.00064043669137579	2
"yccS"	-0.00165892891041929	2
"caiB#1"	-0.00638778048258942	2
"pbpG"	-0.00461542843743666	2
"ykfJ"	-0.0437392567605651	2
"rne"	-0.00201530778925616	2
"IR2506"	-0.00565684877216022	2
"IR2621"	-0.0125099479636245	2
"IR1331"	-0.0116144653658251	2
"cycA"	-0.00154531930174211	2
