"name"	"fitted1"	"rep"
"yjdC"	-0.0549785511129523	1
"grpE#1"	-0.026629650445685	1
"ydcI"	-0.0184009896618699	1
"IR1307"	-0.0154960814993324	1
"cynX"	-0.00893582636500743	1
"IR272"	-0.0456704463758068	1
"IR491"	-0.0191930241227975	1
"deoB"	-0.0276175695062745	1
"ESCRE2879"	-0.00460741797206278	1
"IR3326"	-0.0101746276556703	1
"yaaH"	-0.0254644212063271	1
"ung"	-0.00920121821373701	1
"IR2364"	-0.0187204547719571	1
"IR602"	-0.0189448707986717	1
"yidG"	-0.069321302611998	1
"IR2648"	-0.0356318664981708	1
"yrbE"	-0.0874199910150843	1
"IR714"	-0.0302992270312992	1
"IR2190"	-0.0206537565896169	1
"IR918"	-0.00470961056253936	1
"ybcL"	-0.0158530568053471	1
"IR3546"	-0.00470007999269167	1
"ynfF"	-0.00366949180015416	1
"yqfE"	-0.0134507244304632	1
"yeeS"	-0.0203642267093177	1
"ESCRE4513"	-0.00912364976657433	1
"baeR"	-0.0110647315419067	1
"ECB_01998"	-0.0249449443127015	1
"IR2051"	-0.00733025641069758	1
"ytfP"	-0.0311595000666367	1
"yejF"	-0.00842039298011767	1
"IR2176"	-0.00184684577738019	1
"IR752"	-0.0184922265012882	1
"ansA"	-0.000862925207731965	1
"yahA"	-0.00743419424192831	1
"yjfP"	-0.00870900508884365	1
"bacA"	-0.000676241066120978	1
"ibrB"	-0.011217338035837	1
"IR3549"	-0.0129452169383812	1
"ydeS"	-0.0347158049751026	1
"ligT"	-0.0156009675021191	1
"nfuA"	-0.00139154441759708	1
"yacF"	-0.00306755377864755	1
"nrfC"	-0.0122951197010261	1
"yjjG"	-0.0522490345026187	1
"yhhY"	-0.0115321181344559	1
"bax"	-0.0324469599778614	1
"ugpA"	-0.030684589307232	1
"alkA"	-0.0225131479412468	1
"cynS"	-0.00852036507809444	1
"ygeV"	-0.0206339402050258	1
"pepQ"	-0.0155165403801977	1
"IR934"	-0.00491345352018386	1
"ymjA"	-0.0110251783628903	1
"IR2403"	-0.0335331084979368	1
"hrpA"	-0.0161021932259883	1
"IR58"	-0.0106643737711568	1
"yecO"	-0.024531301657709	1
"yggN"	-0.0216515887810694	1
"yjgR"	-0.0232370260065065	1
"IR1664"	-0.0270964835401704	1
"pqiB"	-0.0118409206157545	1
"yraO"	-0.133187364116916	1
"rem"	-0.000821000912664268	1
"ECB_04146"	-0.00140798176134415	1
"ispH"	-0.000882337464607095	1
"yjdI"	-0.0323286479101886	1
"gudD"	-0.0286261542082725	1
"IR2929"	-0.000396289264929529	1
"IR2498"	-0.00748187046414777	1
"rffD"	-0.0273301217233445	1
"ECB_03566"	-0.00668447696277697	1
"gspI"	-0.00672835325092082	1
"gutQ"	-0.00537974912718003	1
"yhjA"	-0.00169847454444359	1
"yeiM"	-0.00906753059250268	1
"yajQ"	-0.0160263782922785	1
"yigZ"	-0.0928337943054094	1
"yegL"	-0.0146837763328287	1
"ECB_02259"	-0.00455595440650061	1
"lepB"	-0.0194634392177249	1
"tas"	-0.0065686330932201	1
"allR"	-0.00506188618360225	1
"ECB_misc_RNA_12"	-0.0150432212225062	1
"ESCRE4356"	-0.0221877446990931	1
"IR1285"	-0.0316587127654171	1
"IR3625"	-0.0169307686371597	1
"cusR"	-0.00736052045167361	1
"IR2601"	-0.00116202741927413	1
"ECB_03531"	-0.0162878652352336	1
"ECB_00530"	-0.0134991530273395	1
"fimE"	-0.0169230939550878	1
"rpe"	-0.0559082584554071	1
"IR3656"	-0.00331683112800103	1
"IR3479"	-0.0150678041750975	1
"IR3582"	-0.0151179693936898	1
"xylG#1"	-0.010685698734799	1
"cmtB"	-0.00784431428578345	1
"ECB_04138#2"	-0.00092283094928217	1
"ESCRE1276"	-0.0228708162734922	1
"phnI"	-0.00682485966542556	1
"proX"	-0.0201792547365394	1
"ytfK"	-0.0365257276871133	1
"IR2290"	-0.00121953448085982	1
"deoR"	-0.0442936368262948	1
"metB"	-0.0543042171812116	1
"IR788"	-0.0239991954101377	1
"IR3135"	-0.0319136175754796	1
"aapP"	-0.0118955808002846	1
"ybcM"	-0.0256495764622445	1
"ybjL"	-0.00490937190372129	1
"IR1944"	-0.0207899210228024	1
"yjiK"	-0.006750060882575	1
"macB"	-0.00286627311963336	1
"potD"	-0.00295498690689031	1
"ygdI"	-0.0115085522710001	1
"sgbU"	-0.00972582983153691	1
"IR650"	-0.028410322797445	1
"mngB"	-0.00895003608867409	1
"bglF"	-0.0122489624726279	1
"IR3485"	-0.00422615029994179	1
"cof"	-0.000678716109712208	1
"ddpA"	-0.0111631650356189	1
"cynT"	-0.007550803239425	1
"yjhR#1"	-0.0126713140084234	1
"ybiW"	-0.0114161892545794	1
"yciI"	-0.0176600918921809	1
"nac"	-0.025901827699736	1
"gnsB"	-0.0780407365552187	1
"IR3082"	-0.0328147685671373	1
"hscC"	-0.0048757618713195	1
"livH"	-0.0171139766440155	1
"ycaR"	-0.0305738697210031	1
"yggE"	-0.00322596191509174	1
"IR2868"	-0.0208022122831992	1
"yiaB"	-0.00151311216862973	1
"nuoB"	-0.00630570061739769	1
"ECB_01468"	-0.0113358227463304	1
"IR2834"	-0.00820307859704636	1
"lysR"	-0.215580300377901	1
"IR554"	-0.00246644019280185	1
"yjbH"	-0.00356689944519479	1
"IR3682"	-0.0159788953211033	1
"kduD"	-0.000551294121811696	1
"ydcL"	-0.0117338473843728	1
"ybaE"	-0.00886672659412477	1
"uhpT"	-0.0089626030016495	1
"IR903"	-0.00723374682623601	1
"yhiI"	-0.00143752981497057	1
"ybaZ"	-0.00391012683496665	2
"kptA"	-0.00429519638772612	2
"yegH"	-0.00179519311072492	2
"gcvH"	-0.00529380611643932	2
"IR633"	-0.0194131366879487	2
"ytfR"	-0.00411519783161214	2
"yqeC"	-0.00830089610725434	2
"speE"	-0.0409444242945289	2
"ydgA"	-0.0110909077977582	2
"ECB_00503#2"	-0.019592205917563	2
"etp"	-0.0489133184173392	2
