"name"	"fitted1"	"rep"
"IR1924"	-0.000206274634416688	1
"yedZ"	-0.000933024354244002	1
"ulaA"	-0.00818379148999345	1
"W"	-0.0594435384250271	1
"hyfR"	-0.000580541284186876	1
"rpoS"	-0.0133876515687983	1
"hpaE"	-0.00989557178762617	1
"IR3465"	-0.00460743922735751	1
"ECB_02034"	-0.00327829166426316	1
"yraK"	-0.0191289337303874	1
"yliG"	-0.00250859327497678	1
"ECB_03516"	-0.0110696719815859	1
"nemA"	-0.000742185953997902	1
"fumC"	-0.00186004212062626	1
"yphB"	-0.0100041478660242	1
"hyaB"	-0.00481392422548683	1
"phoB"	-0.00442177656954969	1
"IR1428"	-0.00787070785173715	1
"nuoG"	-0.135935670460076	1
"IR1658"	-0.0114843848583882	1
"nsrR"	-0.0641760561038527	1
"IR1137"	-0.00608087012194503	1
"glk"	-0.0306326220894097	1
"IR956"	-0.00947416250746124	1
"yfiL"	-0.0465621359147614	1
"IR2461"	-0.0209582195702979	1
"yidZ"	-0.0165624121893083	1
"ccmG"	-0.0286216399337517	1
"ykgL"	-0.0112625861750369	1
"yeaT"	-0.00671980559472204	1
"yiiE"	-0.0157229440714869	1
"yhfS#1"	-0.0501298690952448	1
"gor"	-0.000287248854474989	1
"bax"	-0.0207638689586403	1
"IR1574"	-0.130207425397333	1
"bglX"	-0.00392029213692855	1
"yeiI"	-0.0645126953305508	1
"hpaC"	-0.00249482069452318	1
"dusC"	-0.0382765133507126	1
"IR2825"	-0.00811141288285756	1
"pspC"	-0.0313245092190528	1
"yoaG"	-0.00420646070878793	1
"IR472"	-0.00616439121745172	1
"mdtB"	-4.08476034706857e-05	1
"ECB_01413"	-0.00198670467122071	1
"kdpC"	-0.00416859744386125	1
"aldA"	-0.01028439091256	1
"amiA"	-0.0563938730502547	1
"ygfT"	-0.000390421533777816	1
"thiI"	-0.0224415306833392	1
"IR304"	-0.000278620162426157	1
"ptsA"	-0.0217431093781814	1
"yfhD"	-0.00748864568164764	1
"IR1267"	-0.0175344667378962	1
"IR2185"	-0.0133667652248376	1
"creB"	-0.00570485375690976	1
"IR1917"	-0.0348046075748854	1
"mutY"	-0.00369375544223907	1
"bioH"	-0.0656818966860348	1
"IR1423"	-0.0156756546915503	1
"IR1944"	-0.0511660381261247	1
"mprA"	-0.0192687132885914	1
"ygdE"	-0.0188787510778692	1
"sucC"	-0.0297285517125385	1
"glmU"	-0.01379171670782	1
"IR1073"	-0.00687161272341895	1
"ydcX"	-0.0153891537310187	1
"IR3677"	-0.0287144626035014	1
"IR298"	-0.0413680416096379	1
"yjhR#1"	-0.00141512433217128	1
"IR1104"	-0.0232728356962796	1
"fusA"	-0.0177832214478904	1
"ychP"	-0.00340961052119611	1
"bolA"	-0.0180500059967336	1
"ESCRE1622"	-0.014398587958059	1
"dnaJ"	-0.11485148000665	1
"IR220"	-0.0163611384564025	1
"yihU"	-0.00901355804388923	1
"IR917"	-0.00337170669698826	1
"IR3523"	-0.042817012989479	1
"ECB_00256"	-0.00321938182328237	1
"yphB"	-0.0244159372602934	1
"ycgY"	-0.0293537291028025	1
"nlpB"	-0.0142672052031683	1
"frlD"	-0.0195774209718854	1
"IR2383"	-0.0210806729944681	1
"uidA"	-0.00636894859632771	1
"IR2294"	-0.0216683622359247	1
"ECB_03278#2"	-0.00443895259450821	1
"IR1785"	-0.00600820805956673	1
"ECB_01523"	-0.00551951046280473	1
"gltI"	-0.00621485806951585	1
"uhpC"	-0.0296332942964061	1
"IR1855"	-0.0423718930066883	1
"pqiB"	-0.0010715086667712	1
"ygiF"	-0.00988399734944404	1
"IR723"	-0.0404728997479113	1
"IR64"	-0.0149350057742071	1
"degS"	-0.0311100485947424	1
"ESCRE4616"	-0.0865098496250432	1
"ydbL"	-0.00570405081209274	1
"hupA"	-0.0290203751484568	1
