"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0382215072819699	0.0382215072819699	-0.00743290162647985	"IR820"	1066944	4	1	0.0427806809620508
"2"	0.0301236115217368	0.0301236115217368	-0.0148651177243958	"yhfS#1"	3432969	2	2	0.0361908570240863
"3"	0.0366032111880848	0.0366032111880848	-0.0233322503492383	"ECB_00512"	553015	7	3	0.0337895103413044
"4"	0.025348407800963	0.025348407800963	-0.0658135927568207	"ECB_00515"	557380	4	3	0.0337895103413044
"5"	0.0273765894727654	0.0273765894727654	-0.0535174995363297	"IR295"	376618	4	4	0.0328437893624889
"6"	0.0241081035789256	0.0241081035789256	0.0185859980096019	"yedW"	1976326	9	5	0.0319767765806988
"7"	0.0390664064366147	0.0390664064366147	-0.00585833339173029	"yedX"	1976973	3	5	0.0319767765806988
"8"	0.0357236084734871	0.0357236084734871	-0.0137078237252109	"yffH"	2503742	5	6	0.0319438358890202
"9"	0.0206045181356193	0.0206045181356193	-0.00653702054383247	"aegA"	2504374	5	6	0.0319438358890202
"10"	0.0320585574368352	0.0320585574368352	-0.0147016034722584	"IR1037"	1307867	3	7	0.0313132257691598
"11"	0.0290772307661337	0.0290772307661337	-0.00157080673948389	"yciI"	1308177	5	7	0.0313132257691598
"12"	0.0357915038844502	0.0357915038844502	-0.0173268131484214	"ECB_00134"	153382	5	8	0.0306405986508865
"13"	0.0151878829501953	0.0151878829501953	-0.00599048578817995	"IR113"	154442	3	8	0.0306405986508865
"14"	0.0211854191234907	0.0211854191234907	NA	"cusC"	577734	6	9	0.0304172743946968
"15"	0.0334945594850988	0.0334945594850988	NA	"cusF"	578146	3	9	0.0304172743946968
"16"	0.0352547082710737	0.0352547082710737	0.00963207350664902	"IR539"	679463	3	10	0.0302886719014978
"17"	0.01539056279277	0.01539056279277	-0.019185224541305	"asnB"	679609	8	10	0.0302886719014978
"18"	0.0412179399398248	0.0412179399398248	0.0155233842633817	"IR2350"	2946542	2	11	0.0302731790370931
"19"	0.0174440792005327	0.0174440792005327	0.00656727875341751	"argK"	2948941	3	11	0.0302731790370931
"20"	0.0285326337103771	0.0285326337103771	-0.00323944634203477	"ytfE"	4416457	5	12	0.0299368750235818
"21"	0.0391824963510398	0.0391824963510398	0.0043104168952782	"osmC"	1530670	2	13	0.0295939681257596
"22"	0.0208169373185973	0.0208169373185973	0.0109790168296041	"IR1226"	1531042	2	13	0.0295939681257596
"23"	0.0212588368584544	0.0212588368584544	0.0142623558438708	"ddpB"	1533870	9	13	0.0295939681257596
"24"	0.0263977920506662	0.0263977920506662	-0.00814952896107434	"IR1229"	1537016	5	13	0.0295939681257596
"25"	0.0258974534271989	0.0258974534271989	-0.0133234977393984	"sugE"	4355719	5	14	0.0282768230141245
"26"	0.030139842458496	0.030139842458496	-0.0547348370882565	"IR607"	768392	2	15	0.0282245402576056
"27"	0.0224786336549343	0.0224786336549343	0.00686894035326316	"galM"	768427	8	15	0.0282245402576056
"28"	0.017027849582177	0.017027849582177	-0.00246556105314597	"ynaI"	1393913	3	16	0.0277780297286472
"29"	0.0313614231108039	0.0313614231108039	-0.00401680922183788	"ynaJ"	1394766	3	16	0.0277780297286472
"30"	0.0277093991157835	0.0277093991157835	-0.0366882845405486	"pspE"	1368073	2	17	0.0277512903095769
"31"	0.0277652540408414	0.0277652540408414	-0.00575454467947576	"ycjV"	1380131	4	17	0.0277512903095769
"32"	0.0265338599692976	0.0265338599692976	-0.0241685383592297	"hybO#2"	3080334	4	18	0.0272852284090432
"33"	0.0211854824695861	0.0211854824695861	-0.00355119777035856	"eutI"	2493336	7	19	0.027242259198649
