IR1	1	189	F
thrL	190	255	F
IR2	256	335	F
thrA	336	2798	F
IR3	2799	2799	F
thrB	2800	3732	F
thrC	3733	5019	F
IR4	5020	5231	F
yaaX	5232	5528	F
IR5	5529	5680	F
yaaA	5681	6457	C
IR6	6458	6526	F
yaaJ	6527	7957	C
IR7	7958	8235	F
talB	8236	9189	F
IR8	9190	9303	F
mogA	9304	9891	F
IR9	9892	9925	F
yaaH	9926	10492	C
IR10	10493	10640	F
htpY	10641	11354	C
IR11	11355	11379	F
yaaI	11380	11784	C
IR12	11785	12160	F
dnaK	12161	14077	F
IR13	14078	14165	F
dnaJ	14166	15296	F
IR14	15297	15442	F
insL#1	15443	16555	F
ESCRE0017	16530	16718	F
IR15	16719	16748	F
hokC	16749	16901	C
mokC	16749	16958	C
IR16	16959	17487	F
nhaA	17488	18654	F
IR17	18655	18713	F
nhaR	18714	19619	F
IR18	19620	19657	F
ECB_00020	19658	20617	C
IR19	20618	20629	F
ECB_00021	20630	21775	C
IR20	21776	22207	F
ECB_00022	22208	22912	C
IR21	22913	23345	F
insA#1	23346	23621	F
insB#1	23540	24043	F
IR22	24044	24053	F
ECB_00025	24054	24404	C
IR23	24405	24886	F
rpsT	24887	25150	C
IR24	25151	25252	F
yaaY	25253	25471	F
IR25	25472	25478	F
ribF	25479	26420	F
IR26	26421	26462	F
ileS	26463	29279	F
lspA	29279	29773	F
IR27	29774	29897	F
fkpB	29898	30347	F
IR28	30348	30348	F
ispH	30349	31299	F
IR29	31300	31364	F
rihC	31365	32279	F
IR30	32280	32445	F
dapB	32446	33267	F
IR31	33268	33308	F
ESCRE0036	33309	33476	C
IR32	33477	33721	F
carA	33722	34870	F
IR33	34871	34887	F
carB	34888	38109	F
IR34	38110	38156	F
ESCRE0039	38157	38336	C
IR35	38337	38370	F
caiF	38371	38766	F
IR36	38767	38974	F
caiE	38975	39565	C
IR37	39566	39570	F
caiD	39571	40464	C
caiC	40465	42033	C
IR38	42034	42091	F
caiB#1	42092	42976	C
caiB#2	42889	43308	C
IR39	43309	43436	F
caiA	43437	44579	C
IR40	44580	44609	F
caiT	44610	46124	C
IR41	46125	46597	F
fixA	46598	47368	F
IR42	47369	47382	F
fixB	47383	48324	F
IR43	48325	48374	F
fixC	48375	49661	F
fixX	49658	49945	F
IR44	49946	50001	F
yaaU	50002	51333	F
IR45	51334	51440	F
kefF	51441	51971	F
kefC	51964	53826	F
IR46	53827	54017	F
folA	54018	54497	F
IR47	54498	54574	F
apaH	54575	55417	C
IR48	55418	55423	F
apaG	55424	55801	C
IR49	55802	55803	F
ksgA	55804	56625	C
pdxA	56622	57611	C
surA	57611	58897	C
IR50	58898	58949	F
imp	58950	61304	C
IR51	61305	61558	F
djlA	61559	62374	F
IR52	62375	62490	F
rluA	62491	63150	C
IR53	63151	63161	F
hepA	63162	66068	C
IR54	66069	66232	F
polB	66233	68584	C
IR55	68585	68658	F
araD	68659	69354	C
IR56	69355	69638	F
araA	69639	71141	C
IR57	71142	71151	F
araB	71152	72852	C
IR58	72853	73190	F
araC	73191	74069	F
IR59	74070	74154	F
yabI	74155	74919	F
IR60	74920	75032	F
thiQ	75033	75731	C
thiP	75715	77325	C
tbpA	77301	78284	C
IR61	78285	78314	F
ECB_misc_RNA_30	78315	78414	C
IR62	78415	78447	F
sgrR	78448	80103	C
IR63	80104	80191	F
ESCRE0075	80192	80323	F
IR64	80324	80424	F
setA	80425	81603	F
IR65	81604	81651	F
leuD	81652	82257	C
IR66	82258	82267	F
leuC	82268	83668	C
IR67	83669	83670	F
leuB	83671	84762	C
leuA	84762	86333	C
IR68	86334	86425	F
leuL	86426	86512	C
IR69	86513	87171	F
leuO	87172	88116	F
IR70	88117	88433	F
ilvI	88434	90158	F
IR71	90159	90160	F
ilvH	90161	90652	F
IR72	90653	90831	F
fruR	90832	91836	F
IR73	91837	92437	F
mraZ	92438	92896	F
IR74	92897	92897	F
mraW	92898	93839	F
ftsL	93836	94201	F
IR75	94202	94216	F
ftsI	94217	95983	F
murE	95970	97457	F
murF	97454	98812	F
mraY	98806	99888	F
IR76	99889	99890	F
murD	99891	101207	F
ftsW	101207	102451	F
murG	102448	103515	F
IR77	103516	103568	F
murC	103569	105044	F
ddlB	105037	105957	F
IR78	105958	105958	F
ftsQ	105959	106789	F
ftsA	106786	108048	F
IR79	108049	108108	F
ftsZ	108109	109260	F
IR80	109261	109360	F
lpxC	109361	110278	F
IR81	110279	110508	F
secM	110509	111021	F
IR82	111022	111082	F
secA	111083	113788	F
IR83	113789	113847	F
mutT	113848	114237	F
IR84	114238	114452	F
yacG	114453	114650	C
IR85	114651	114659	F
yacF	114660	115403	C
coaE	115403	116023	C
IR86	116024	116247	F
guaC	116248	117291	F
IR87	117292	117325	F
hofC	117326	118528	C
hofB	118518	119903	C
IR88	119904	119912	F
ppdD	119913	120353	C
IR89	120354	120555	F
nadC	120556	121449	C
IR90	121450	121536	F
ampD	121537	122088	F
ampE	122085	122939	F
IR91	122940	122981	F
aroP	122982	124355	C
IR92	124356	124895	F
pdhR	124896	125660	F
ESCRE0117	125657	125839	C
aceE	125821	128484	F
IR93	128485	128498	F
aceF	128499	130391	F
IR94	130392	130715	F
lpd	130716	132140	F
IR95	132141	132210	F
yacH	132211	134064	C
IR96	134065	134418	F
acnB	134419	137016	F
IR97	137017	137190	F
yacL	137191	137553	F
IR98	137554	137590	F
speD	137591	138385	C
IR99	138386	138400	F
speE	138401	139267	C
IR100	139268	139372	F
yacC	139373	139720	C
IR101	139721	139885	F
cueO	139886	141436	F
IR102	141437	141637	F
gcd	141638	144028	C
IR103	144029	144233	F
hpt	144234	144770	F
IR104	144771	144810	F
can	144811	145473	C
IR105	145474	145581	F
yadG	145582	146508	F
yadH	146505	147275	F
IR106	147276	147379	F
yadI	147380	147820	F
IR107	147821	147883	F
yadE	147884	149113	F
IR108	149114	149116	F
panD	149117	149497	C
IR109	149498	149770	F
yadD	149771	150673	F
IR110	150674	150746	F
panC	150747	151598	C
IR111	151599	151609	F
panB	151610	152404	C
IR112	152405	152516	F
ECB_00134	152517	153863	C
yadK	153844	154440	C
IR113	154441	154466	F
yadL	154467	155069	C
IR114	155070	155083	F
yadM	155084	155653	C
IR115	155654	155669	F
htrE	155670	158270	C
IR116	158271	158304	F
ecpD	158305	159045	C
IR117	159046	159149	F
yadN	159150	159734	C
IR118	159735	160103	F
folK	160104	160583	C
pcnB	160580	161944	C
IR119	161945	162036	F
yadB	162037	162963	C
IR120	162964	162999	F
dksA	163000	163455	C
IR121	163456	163632	F
sfsA	163633	164337	C
IR122	164338	164351	F
ligT	164352	164882	C
IR123	164883	164955	F
hrpB	164956	167385	F
IR124	167386	167580	F
mrcB	167581	170106	F
IR125	170107	170325	F
fhuA	170326	172569	F
IR126	172570	172619	F
fhuC	172620	173417	F
fhuD	173417	174307	F
fhuB	174304	176286	F
IR127	176287	176443	F
hemL	176444	177724	C
IR128	177725	177948	F
clcA	177949	179370	F
IR129	179371	179451	F
yadR	179452	179796	F
IR130	179797	179842	F
yadS	179843	180466	C
IR131	180467	180503	F
btuF	180504	181304	C
pfs	181297	181995	C
IR132	181996	182078	F
dgt	182079	183596	F
IR133	183597	183725	F
degP	183726	185150	F
IR134	185151	185304	F
cdaR	185305	186462	F
IR135	186463	186550	F
yaeH	186551	186937	C
IR136	186938	187098	F
yaeI	187099	187911	C
IR137	187912	187964	F
dapD	187965	188789	C
IR138	188790	188819	F
glnD	188820	191492	C
IR139	191493	191553	F
map	191554	192348	C
ESCRE0174	192348	192569	C
IR140	192570	192571	F
ECB_misc_RNA_16	192572	192689	F
IR141	192690	192715	F
rpsB	192716	193441	F
IR142	193442	193698	F
tsf	193699	194550	F
IR143	194551	194696	F
pyrH	194697	195422	F
IR144	195423	195713	F
frr	195714	196271	F
IR145	196272	196362	F
dxr	196363	197559	F
IR146	197560	197744	F
ispU	197745	198506	F
IR147	198507	198518	F
cdsA	198519	199376	F
IR148	199377	199387	F
yaeL	199388	200740	F
IR149	200741	200769	F
yaeT	200770	203202	F
IR150	203203	203323	F
hlpA	203324	203809	F
IR151	203810	203812	F
lpxD	203813	204838	F
IR152	204839	204942	F
fabZ	204943	205398	F
IR153	205399	205401	F
lpxA	205402	206190	F
lpxB	206190	207338	F
rnhB	207335	207931	F
IR154	207932	207967	F
dnaE	207968	211450	F
IR155	211451	211462	F
accA	211463	212422	F
IR156	212423	212520	F
ldcC	212521	214662	F
IR157	214663	214718	F
yaeR	214719	215108	F
IR158	215109	215172	F
tilS	215173	216471	F
IR159	216472	216519	F
rof	216520	216774	C
yaeP	216767	216967	C
IR160	216968	217132	F
yaeQ	217133	217678	F
yaeJ	217675	218097	F
IR161	218098	218110	F
nlpE	218111	218821	F
IR162	218822	219020	F
yaeF	219021	219845	C
IR163	219846	219897	F
proS	219898	221616	C
IR164	221617	221726	F
yaeB	221727	222434	C
rcsF	222431	222835	C
IR165	222836	222952	F
metQ	222953	223768	C
IR166	223769	223807	F
metI	223808	224461	C
metN	224454	225485	C
IR167	225486	225672	F
gmhB	225673	226245	F
IR168	226246	226608	F
rrsH	226609	228150	F
IR169	228151	228218	F
ileV	228219	228295	F
IR170	228296	228337	F
alaV	228338	228413	F
IR171	228414	228587	F
rrlH	228588	231493	F
IR172	231494	231529	F
ESCRE0220	231530	231823	C
rrfH	231680	231799	F
IR173	231800	231851	F
aspU	231852	231928	F
IR174	231929	232090	F
dkgB	232091	232894	F
yafC	232891	233805	C
IR175	233806	234045	F
yafD	234046	234846	F
IR176	234847	234849	F
yafE	234850	235473	F
IR177	235474	235520	F
mltD	235521	236879	C
IR178	236880	236950	F
gloB	236951	237706	C
IR179	237707	237739	F
yafS	237740	238462	F
rnhA	238459	238926	C
IR180	238927	238990	F
dnaQ	238991	239722	F
IR181	239723	239854	F
aspV	239855	239931	F
ESCRE0230	239874	239966	C
IR182	239967	240260	F
yafT	240261	241046	F
IR183	241047	241311	F
insA#2	241312	241587	F
insB#2	241506	242009	F
IR184	242010	242010	F
ECB_00212	242011	242382	F
IR185	242383	242812	F
yhhI#1	242813	243949	F
IR186	243950	243989	F
yafV	243990	244760	C
IR187	244761	244913	F
ivy	244914	245387	F
IR188	245388	245429	F
fadE	245430	247874	C
IR189	247875	248113	F
lpcA	248114	248692	F
IR190	248693	248897	F
yafJ	248898	249665	F
