"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"3"	"IR1"	"IR1-1"	29	2	9	21	9	10	11	60	0.148936170212766	"F"	-0.00385270828023847	-0.00663419183168758	-0.00929589236736938	0.0081807675494627	0.00879433234443149	0.00894726425777896	0.669806557112475	0.505440049366853	0.375202215686678	283.193781866254	5572.20495209863	505.439741472357
"5"	"IR1"	"IR1-3"	145	3	11	0	0	0	0	11	0.765957446808511	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"thrL"	"thrL"	231	2	8	0	0	0	0	8	0.630769230769231	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"IR2"	"IR2"	322	1	3	0	0	0	0	3	0.835443037974684	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"thrA"	"thrA-1"	659	5	24	0	0	0	0	24	0.131194151096669	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"thrA"	"thrA-2"	1494	9	38	0	0	0	0	38	0.470349309504468	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"thrA"	"thrA-3"	2259	13	68	0	0	0	0	68	0.781072298943948	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"thrB"	"thrB-1"	2905	1	13	0	0	0	0	13	0.112660944206009	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"thrB"	"thrB-3"	3660	2	10	0	0	0	0	10	0.92274678111588	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"thrC"	"thrC-1"	3744	2	15	1	0	0	0	16	0.00855365474339036	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"thrC"	"thrC-2"	4219	1	1	1	18	2	2	24	0.377916018662519	"F"	0.0110644117752359	-0.0219531842954517	-0.0521185556850959	0.0305756094607218	0.051266783178588	0.0470295395962989	0.741436113144557	0.697377284541643	0.348632135521708	208.648550765674	92.6598906139171	4273.11200534909
"25"	"thrC"	"thrC-3"	4861	1	4	0	0	0	0	4	0.877138413685848	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"IR4"	"IR4-1"	5024	5	17	23	19	8	16	83	0.018957345971564	"F"	-0.00864953230366064	-0.00765720467935711	-0.00684876474806466	0.00742134424769761	0.00597888709927184	0.00480795833002656	0.328060373529249	0.290332734498726	0.249518453662929	2345.50558134232	629.537425904808	13331.8276549896
"29"	"IR4"	"IR4-3"	5183	3	2	5	2	5	0	14	0.772511848341232	"F"	0.0155508529873981	0.0166075748934798	0.014371819095514	0.0235969942864914	0.0189912779252737	0.0141142923247561	0.577613516205949	0.47407207602755	0.41569072003985	17.0231505623205	28.9714038474732	147.596394979426
"31"	"yaaX"	"yaaX-1"	5249	5	19	25	23	25	41	133	0.0574324324324324	"F"	0.0114322120326554	0.0120058763591538	0.012430914646309	0.00270939559179732	0.00239597428687202	0.00214380388817731	0.0243320968156786	0.0153012017067783	0.0102062618723378	106.767286982567	83.0569172444797	85.3763557629668
"33"	"yaaX"	"yaaX-2"	5351	4	11	7	8	12	8	46	0.402027027027027	"F"	-0.000826590840498116	-0.00138673650188489	-0.0012389605117725	0.00902308327792984	0.0092103835625147	0.00878901737276622	0.932783410395418	0.889874661468176	0.896829393042484	12.5550510731308	12.4027129935519	23.1415575718244
"35"	"yaaX"	"yaaX-3"	5471	2	3	4	1	0	0	9	0.807432432432432	"F"	-0.0700697664713295	-0.0565739892051524	-0.0294848085556621	0.0288793981836918	0.0412322275256422	0.0472863820445573	0.248878983271098	0.400947733352097	0.64505482643479	23.4000000000001	3.65907071051889	5.84779908036628
"37"	"yaaA"	"yaaA-1"	5745	6	13	10	11	6	12	52	0.0824742268041237	"C"	-0.00373197321224772	-0.0038496518406531	-0.00409311183541033	0.00729384208161575	0.00656557959814914	0.00582534087135097	0.644170387435751	0.598846115206051	0.53289505868048	147243.823092084	627.673177978074	262.889945839297
"39"	"yaaA"	"yaaA-2"	5953	8	32	61	41	47	28	209	0.350515463917526	"C"	-0.00642753188817115	-0.0052382983015597	-0.00378855853045632	0.00728568313238332	0.00803374806235956	0.0082954495836044	0.442625509733605	0.560878704969225	0.678922838927874	184.810595879411	42.9015922422924	22.9709639303769
"41"	"yaaA"	"yaaA-3"	6319	4	3	9	7	2	6	27	0.822164948453608	"C"	-0.00200416103269249	-0.0032084363013687	-0.0049709380818137	0.0141906347444482	0.0118628966213041	0.00914664965733244	0.896637622566401	0.804346109962551	0.624589072740333	19.0345419653955	44.5974334744522	258006.632308528
"43"	"IR6"	"IR6"	6459	3	7	28	15	17	21	88	0.0147058823529412	"F"	0.00996833867709962	0.00293467713426932	-0.0019560516322618	0.0110171629750935	0.0101174354375088	0.00800243781349336	0.432267917518281	0.790663011401643	0.822660498032454	168.867477327007	8405.95961985797	1335.14059019121
"45"	"yaaJ"	"yaaJ-1"	6622	18	35	60	38	36	59	228	0.0664335664335664	"C"	0.00368221338873653	0.00354638282017584	0.00327407192680823	0.00537581770573292	0.00512661900941106	0.00479466471229293	0.542546291144794	0.538818321582864	0.543702444544143	37.5143734088048	28.9950344195481	39.1088110739406
"47"	"yaaJ"	"yaaJ-2"	7156	16	49	42	51	28	47	217	0.43986013986014	"C"	-0.00309015007568786	-0.00321056234873131	-0.00335076274271864	0.00535913923217442	0.00493406715429405	0.00448807449202756	0.604620331061852	0.561636908359359	0.509493436576026	72.1229077543449	132.493139695981	326.429736299485
"49"	"yaaJ"	"yaaJ-3"	7492	8	11	32	33	35	28	139	0.674825174825175	"C"	0.0110867724223408	0.00697898987155569	0.00429549950946932	0.010117827628587	0.00935928981172885	0.0083067736817965	0.353267103503923	0.509973198262209	0.640788886446583	65.7350529471381	166.010630795084	58505.0005705916
"51"	"IR7"	"IR7-1"	7961	9	10	29	34	32	22	127	0.0108303249097473	"F"	0.00851356760134404	0.00481478003357854	0.00270877854713629	0.0114997657055622	0.0110009382843825	0.00989331688525209	0.512778471479463	0.691220061382213	0.802008391151511	36.2641098411331	80.7353670867966	47.6333414467285
"53"	"IR7"	"IR7-2"	8062	3	49	44	37	44	38	212	0.375451263537906	"F"	-0.00395923311552981	-0.00427738675400842	-0.00445956697429037	0.00494090786095742	0.00494006107402158	0.00484506396270157	0.481541747661257	0.450264062518716	0.425227125528018	6.73806544668557	7.01126835444482	11.4566381566875
"55"	"IR7"	"IR7-3"	8199	2	4	1	1	1	4	11	0.870036101083033	"F"	0.00566556088466016	-0.000314552990954675	-0.00254086791225057	0.0212070261760609	0.0156271554172913	0.00878997568677285	0.806662605803144	0.985204682821381	0.791356665045231	27.6442121129649	183.86826971263	2347.3262740395
"57"	"talB"	"talB-1"	8314	3	5	4	1	0	0	12	0.0818467995802728	"F"	-0.0920374572295191	-0.0856382145768931	-0.0752618016844779	0.00985481992461903	0.0137219465069298	0.014428443425213	0.0679067094030161	0.101146820706405	0.120583355167336	23.4000000000001	6.76387874385459	20.8734780597977
"59"	"talB"	"talB-2"	8609	3	6	8	4	3	3	24	0.391395592864638	"F"	-0.0180417082061544	-0.0193937030477366	-0.02007591207572	0.00463702857789826	0.0049453865029509	0.00561454628015797	0.0301054399235781	0.0294944798620973	0.0374004367116913	10941.7546625257	21.6650783772967	24.5561823593207
"61"	"talB"	"talB-3"	9187	1	1	1	0	1	0	3	0.997901364113326	"F"	0.00262087637287582	0.0023784728971212	0.00214720118314848	0.00627838930129959	0.00591733649470936	0.0055504016864008	0.748246585789909	0.756692704106947	0.76500870817779	60.2941176470593	84.8126251857616	120.373324838184
"63"	"IR8"	"IR8-2"	9262	2	4	0	2	3	4	13	0.63716814159292	"F"	3.42251043093809e-05	-0.00198306717464339	-0.00294835769625867	0.0122089164117779	0.0091736832976049	0.00665312640964831	0.998017780204004	0.848900335068923	0.700980066808152	659.257551402392	2911.25433194042	410.979982975472
"65"	"mogA"	"mogA-1"	9318	4	8	6	14	6	6	40	0.0238500851788756	"F"	-0.00522336415651809	-0.00590846202813405	-0.00539164953761315	0.00914287114418668	0.0107308906066848	0.0122361234609259	0.607788648384352	0.620254105175026	0.689296569331133	97.1550935474909	25.301710771768	22.8172099281147
"67"	"mogA"	"mogA-3"	9700	5	10	6	2	1	3	22	0.674616695059625	"F"	-0.0272731398527265	-0.0309119498174105	-0.0319402316907376	0.0185913625398315	0.0146037811511646	0.0134455348787404	0.238661311541433	0.12457089368865	0.0980130024526989	783.196309779857	102.179174544403	829.561209672143
"69"	"yaaH"	"yaaH-1"	9927	6	18	15	7	7	10	57	0.00176678445229682	"C"	-0.0128315416956067	-0.0153725604843969	-0.0165807248086808	0.00968760810490473	0.00831077852463685	0.00731564834960108	0.277188591772895	0.16147061016349	0.108276750962331	378.593495149291	151.748345683095	63.336867614798
"71"	"yaaH"	"yaaH-2"	10156	6	18	33	12	10	11	84	0.406360424028269	"C"	-0.0168457238167095	-0.0193963066486901	-0.0205732659669586	0.0079976075709304	0.00917826920417685	0.0111314098310903	0.125803381471109	0.124976360702079	0.161710874534364	32.6066186277372	38.090551211819	62.0452767806399
"73"	"yaaH"	"yaaH-3"	10381	3	2	6	8	4	1	21	0.803886925795053	"C"	-0.0196669243227238	-0.00813318899290472	-0.000432287693505257	0.0190707276417056	0.0213663823604124	0.0186818271936085	0.378276307374428	0.728815195641208	0.982992074562984	120.619341331295	688.262858352369	17.3619716534256
