"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0595560488817297	-0.0152755946157536	-0.0172192028531725	"IR3519"	4394502	5	1	0.0488175172841066
"2"	0.0166019224912374	-0.0402038017421801	-0.00264575308409617	"yjfO"	4394713	9	1	0.0488175172841066
"3"	0.0207401020638705	-0.0161340297701691	-0.00613467501092136	"IR1767"	2177665	2	2	0.0485603090861818
"4"	0.0578337114269523	0.00777491181900192	0.0189935241119646	"yohF"	2177781	3	2	0.0485603090861818
"5"	0.0492367823296801	-0.00723136363967675	-0.0415291940909382	"ECB_01535"	1621626	4	3	0.0415060675520145
"6"	0.0183139232190177	-0.0237767329998966	-0.0186951964213834	"ECB_01537"	1622898	8	3	0.0415060675520145
"7"	0.045121405824774	NA	-0.0453170042322707	"IR239"	313770	2	4	0.039340632484124
"8"	0.021998312462174	-0.0193130240001466	NA	"IR240"	315186	4	4	0.039340632484124
"9"	0.0375644328323515	-0.0337664511434971	-0.0513440185571727	"yihL"	4039284	9	109	0.0392411529236792
"10"	0.0398000596207884	-0.00682793040056435	-0.00748137746975644	"yihN"	4040724	4	109	0.0392411529236792
"11"	0.0326506187234434	-0.0239311239096666	-0.075900064292204	"ykgJ"	274036	3	6	0.037771239248253
"12"	0.04052584444341	-0.0156778977481308	-0.025019686015458	"sfmC"	531414	6	7	0.035034317489017
"13"	0.018559736625838	0.00789656868165954	-0.013867266528598	"sfmD"	532725	31	7	0.035034317489017
"14"	0.0152380584034849	-0.00248576184725203	0.00461148552961988	"tdcG"	3192253	29	110	0.0349748470035168
"15"	0.0415537765368607	-0.00710220151058365	-0.00531856610745465	"tdcA"	3199829	6	110	0.0349748470035168
"16"	0.0454739060449857	-0.0137314625071552	-0.0472659612783869	"glnK"	444666	3	9	0.0347108292047492
"17"	0.0234892299373338	-0.0044635163413173	-0.017036578450797	"tesB"	446381	7	9	0.0347108292047492
"18"	0.0315593962646323	0.0162036288105789	-0.00392359552780138	"ygfF"	2931444	5	10	0.0342197530964783
"19"	0.0351065387070936	-0.0482504021767539	-0.0216193128573589	"gcvH"	2934913	8	10	0.0342197530964783
"20"	0.0155383676480707	-0.00949052698310183	-0.000596515121479839	"sufE"	1736142	4	111	0.0340490756480887
"21"	0.0402193116480947	-0.0127243699662448	-0.0315639714863463	"sufA"	1741490	4	111	0.0340490756480887
"22"	0.0281917496996025	-0.00224862994392355	0.00264943533471595	"narU"	1517289	12	12	0.0335780656250433
"23"	0.0375632795727122	0.0163268267261927	-0.0141867383874976	"yebK"	1915344	9	112	0.0335430482362954
"24"	0.0214823542270451	-0.0196308456902096	-0.00314176824530673	"pykA"	1917274	17	112	0.0335430482362954
"25"	0.0154417056431064	-0.029334715913768	-0.0266073435335472	"yagP"	267568	9	14	0.0326041301665808
"26"	0.0383249383410722	-0.00358575081853917	0.00138239295574113	"yagQ"	268612	6	14	0.0326041301665808
"27"	0.0424264129463703	-0.0082452487148108	-0.0141926661195185	"ssuD"	1012824	6	15	0.0325740720818027
"28"	0.0227217312172351	-0.00977152391909514	-0.000929044772876987	"ssuA"	1013737	16	15	0.0325740720818027
"29"	0.0215464967136252	-0.0146936565487667	-0.0112068856385987	"ssuE"	1014376	3	15	0.0325740720818027
"30"	0.0275022063211772	-0.0280801795155393	0.00659542202044367	"yeaT"	1859802	7	16	0.0323855204335963
"31"	0.0415152242506748	0.0113942324982881	-0.0389747933790906	"ulaC"	4400263	4	17	0.0323314653045413
"32"	0.0199149145193732	-0.00159917991635832	-0.0102325412065743	"yjfY"	4402671	13	17	0.0323314653045413
"33"	0.0304863153762445	-0.0159723107317958	-0.0133596847278417	"yniB"	1786242	4	131	0.0321162347930116
"34"	0.0152107054698438	-0.0106716356812088	0.0267384917702551	"yniC"	1787102	6	131	0.0321162347930116
"35"	0.0337461542097787	-0.00421668759566839	-0.00174679690620693	"ydjM"	1787717	8	131	0.0321162347930116
"36"	0.0333232515843685	-0.00159982829355513	-0.00572622125639922	"IR1535"	1880186	9	19	0.0317484189205121
"37"	0.0270239209289428	0.00985442064571935	-0.00948523203627489	"manX"	1881285	17	19	0.0317484189205121
"38"	0.027077932009602	0.00276667374897695	-0.0128237549244074	"xylH"	3664980	17	114	0.0300594382189076
"39"	0.0157886437102831	-0.000694634741614352	0.00355632374165487	"yccS"	1038890	30	115	0.0299036718921966
"40"	0.0346086812861677	-0.00330168532120478	0.00311015506551228	"helD"	1042407	10	115	0.0299036718921966
"41"	0.0179769156814723	0.00882248881707114	-0.0255833749312376	"ygbJ"	2756917	7	22	0.0297891131035585
