"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0260089370129132	0.0045498074234553	-0.0267724512919378	"yehK"	2155372	2	1	0.0328831275964374
"2"	0.0351745244576122	-0.0108804566918368	-0.00270564458862287	"yehP"	2159959	6	1	0.0328831275964374
"3"	0.0271719449894379	-0.00680683302795309	0.00626849548637097	"erfK"	2000492	3	2	0.0242082904531176
"4"	0.0153173268441567	-0.0104963942389058	-0.00598041879419751	"cobU"	2003227	9	2	0.0242082904531176
"5"	0.0227353692435518	-0.0153617809531746	-0.00225147400476063	"yecT"	1940769	3	3	0.0234201951617199
"6"	0.0257148319061866	NA	-0.0208971448314544	"IR3198"	3982441	2	4	0.0234112078681307
"7"	0.0165003357539628	0.0106145098246685	-0.00035095071033518	"ECB_03714"	3985355	4	4	0.0234112078681307
"8"	0.0219746248741754	-0.0129874221302213	NA	"flgG"	1149376	5	5	0.0232806042049464
"9"	0.0271985421972594	-0.00678921536173247	-0.0142613343788863	"flgJ"	1152786	4	5	0.0232806042049464
"10"	0.0161295900566529	0.0104506910049103	-0.00469932003145567	"flgK"	1154220	8	5	0.0232806042049464
"11"	0.0150133641865271	0.00819901992689841	-0.0271952476951947	"flgL"	1154700	5	5	0.0232806042049464
"12"	0.0155092625402289	0.0110567891715087	-0.00166589917904146	"phoB"	385576	6	6	0.0232602284775095
"13"	0.0258438837899364	0.0109003707992558	0.0223540770614419	"phoR"	387225	4	6	0.0232602284775095
"14"	0.0243063419861817	0.00494480709049201	-0.000887758637616378	"IR3699"	4601333	5	7	0.0230564685242925
"15"	0.019306848138625	0.00762141531144371	-0.0229810131869765	"ytjA"	4601478	2	7	0.0230564685242925
"16"	0.0242660268037862	NA	-0.0370004578767986	"ESCRE0075"	80204	2	8	0.0222998093488439
"17"	0.016401156984017	NA	NA	"IR64"	80378	3	8	0.0222998093488439
"18"	0.0231355249129367	-0.00598242140443882	-0.00723694080382376	"cpsG#2"	2054999	3	9	0.0219915854170111
"19"	0.0207501526044069	0.0145594834709126	0.00787691895430468	"gmd"	2060475	4	9	0.0219915854170111
"20"	0.0216102722517026	0.0152019524955383	-0.0030485472018631	"wcaB"	2065708	3	9	0.0219915854170111
"21"	0.019286958713166	0.0152625564079482	0.00896074661996015	"wzc"	2068381	9	9	0.0219915854170111
"22"	0.0153830067393824	0.0176584503771191	0.00089124009056337	"araA"	71086	4	10	0.0217268036634871
"23"	0.0238414026381887	-0.00941680278904527	0.000449343547031737	"araB"	72414	6	10	0.0217268036634871
"24"	0.0158209657398828	-0.00462998067033402	-0.0147877651204142	"eutC"	2483972	8	11	0.0211780869715705
"25"	0.0229637940487997	0.0112527543494682	0.00211977775946992	"eutH"	2487745	3	11	0.0211780869715705
"26"	0.0208571660818177	0.00688088099238039	-0.038962480806607	"yaiI"	373447	4	12	0.0210629057139956
"27"	0.0211314855913882	-0.00660626023995788	-0.0400536420727795	"yaiA"	374781	3	12	0.0210629057139956
"28"	0.0201784033598481	0.00061347981313165	-0.0145820566768244	"ECB_01907"	2008128	2	13	0.0206532282560071
"29"	0.0173408302650245	0.0107488568193125	-0.0668212551299745	"ECB_01908"	2008313	3	13	0.0206532282560071
"30"	0.0218492102331106	0.00913147804709364	-0.0263059640255119	"IR3385"	4221515	5	33	0.0204505747388565
"31"	0.0162546682560941	0.00306847557415337	-0.00371694847356445	"malF"	4223229	8	33	0.0204505747388565
"32"	0.0216622582745457	-0.0073824104415238	-0.0203991599362339	"rstA"	1659362	6	15	0.0203709935400057
"33"	0.0164971993363856	-0.00139991034314105	-0.00675284050117554	"tus"	1661551	5	15	0.0203709935400057
"34"	0.0202446742979506	-0.0156069213778532	NA	"IR2957"	3686629	2	16	0.0196777445717869
"35"	0.0179769553932958	-0.000248776559826219	-0.00526101164783398	"yiaU"	3686835	6	16	0.0196777445717869
"36"	0.0199411182233877	-0.00366508743206047	-0.0054771839250366	"IR1832"	2266613	4	34	0.0196188933171005
"37"	0.0186522185982388	0.00215158809186224	0.00856380354239438	"atoC"	2269499	10	34	0.0196188933171005
"38"	0.0190107490564251	-0.00950302048308673	-0.000220756480936615	"ybfP"	697535	4	18	0.0195514435052812
"39"	0.0202096146800614	0.00720777324715703	-0.00981859926027356	"yegX"	2137110	4	19	0.0195427583476079
"40"	0.0175421893502473	-0.0261878502202824	-0.00157428430219388	"thiM"	2138884	2	19	0.0195427583476079
"41"	0.0184814430013742	NA	-0.020729868323276	"recX"	2717030	2	20	0.0193961021783088
"42"	0.0194051724744426	0.00511815492177405	-0.00641244777334993	"osmC"	1530670	2	21	0.0190118277945676
"43"	0.0178317937549426	0.00586865994243613	-0.00223432985539848	"ddpB"	1534395	4	21	0.0190118277945676
"44"	0.0181683487679462	NA	0.00422846514348827	"ssuC"	1011446	7	22	0.0188713055502209
"45"	0.0191056244776458	-0.00950953898414772	-0.0259113663216887	"IR782"	1014863	2	22	0.0188713055502209
"46"	0.0153444571829285	-0.00756858824882666	-0.00115793604767933	"fsaA"	856427	2	23	0.01878311836641
"47"	0.0199293387609038	NA	NA	"moeB"	857276	3	23	0.01878311836641
"48"	0.0150782242090886	-0.00282564592899358	0.00403252417248776	"dmsA"	959696	16	24	0.0181480243890226
"49"	0.0191712911156673	0.00523403819554216	-0.00901438535426113	"dmsC"	961862	4	24	0.0181480243890226
"50"	0.0170830739213758	-0.00531387555126246	-0.0109134490852576	"IR2667"	3317352	2	25	0.0180650021914018
"51"	0.018121255071321	-0.00928493100560616	-0.00402756890060451	"ybaP"	479893	5	26	0.0180064375549416
"52"	0.0176619850058036	NA	0.00862595976896455	"ybaQ"	480431	3	26	0.0180064375549416
"53"	0.0166127158870529	-0.000176259963748885	-0.00333081776792628	"yiiG"	4065856	14	27	0.0178282265070818
"54"	0.0182333967137581	0.00474108299141969	0.00624613347715396	"frvB"	4069495	4	27	0.0178282265070818
"55"	0.0167410119492905	-0.00290321206618281	-0.0126596761936974	"greB"	3465549	2	28	0.0172969419925499
"56"	0.016555312002247	0.00710476562348508	0.00372631277087183	"ybbP"	492630	8	29	0.0168085344189638
"57"	0.0169508878953267	0.00175751171763204	-0.0174123481978688	"glpA"	2299534	7	30	0.0164989328131436
"58"	0.0151430675665944	-0.00631974759704144	1.56863987393363e-05	"yfaD"	2303978	6	30	0.0164989328131436
"59"	0.0150705711308734	0.0166770699705621	0.0155610148960841	"yjdP"	4292715	4	31	0.0161000223163663
"60"	0.015190171038791	NA	-0.00817391278106869	"phnN"	4294678	3	31	0.0161000223163663
"61"	0.0170098735939415	-0.000401386086414396	-0.00121017371508317	"phnF"	4300620	4	31	0.0161000223163663
"62"	0.0156908726335193	0.00538817568823467	-0.000772187536538344	"ybiO"	836237	3	32	0.0155676203224935
"63"	0.0151978633894162	0.00667187055036323	-0.000996279841527647	"IR655"	838208	4	32	0.0155676203224935
"64"	0.0175515050411516	-0.00287360917316978	0.0102099560650072	"galM"	768570	3	33	0.0256059820347179
"65"	0.0256059820347179	-0.00107106063316717	-0.0181234400011109	"galE"	772278	2	33	0.0256059820347179
"66"	0.0249067275064634	-0.0148664982538138	-0.0317187708194893	"rspB"	1630435	5	34	0.0249067275064634
"67"	0.0161585176571812	-0.0194245052912707	NA	"IR1321"	1632513	2	34	0.0249067275064634
"68"	0.0218701191669109	-0.00718364174912087	0.0052217206224592	"nudG"	1819079	4	35	0.0218701191669109
"69"	0.0235194256328691	-0.00965295506382694	0.0082724160110439	"ynjH"	1819123	2	35	0.0218701191669109
"70"	0.0185572815256267	NA	NA	"IR719"	917438	3	36	0.0207784369921141
"71"	0.0207784369921141	0.00903274185293857	-0.00201667258624568	"artM"	917652	3	36	0.0207784369921141
"72"	0.0178733493820058	-0.017075826449505	-0.00854047027824526	"IR1485"	1828021	2	37	0.0205723462449822
"73"	0.0160733665513277	-0.0156069213778532	NA	"ECB_01343"	1424080	4	38	0.0204049640345039
"74"	0.0204049640345039	-0.0165547306654306	-0.024890761059249	"ECB_01344"	1424174	3	38	0.0204049640345039
