"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"3"	"IR1"	"IR1-1"	29	2	0	3	8	2	3	16	0.148936170212766	"F"	-0.041419068114549	-0.0474098205573279	-0.0367478144757142	0.0507435134640599	0.0721149223502947	0.0903342135852457	0.500116202337992	0.578455537328432	0.723559504655657	203.150811347401	23.4162065145766	113.46640275284
"5"	"IR1"	"IR1-2"	83	2	2	3	1	1	4	11	0.436170212765957	"F"	-0.010034529677499	-0.00298865080624495	0.000137787065733542	0.0287655014424449	0.0231826126067383	0.0170747018988591	0.750257323987588	0.905580144907116	0.994068035707803	286.593806224618	107.275330792272	96.6926708789301
"7"	"thrA"	"thrA-1"	939	2	18	1	0	0	0	19	0.244922826969943	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"thrA"	"thrA-2"	1158	2	7	1	1	0	1	10	0.333874898456539	"F"	-0.0748357292055159	-0.109499485389882	-0.124237775912246	0.0400789153515676	0.0399789189581866	0.0402184771219185	0.202838185668063	0.111454977020584	0.0907556390788391	124.484937161834	366.630123461056	2810.09503838754
"11"	"thrC"	"thrC-2"	4226	1	0	0	3	0	0	3	0.383359253499222	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"thrC"	"thrC-3"	4995	1	53	38	24	23	40	178	0.981337480559876	"F"	-0.0303931722562941	-0.0325379657101402	-0.0340302769252767	0.0108427303627787	0.00963410179484611	0.00880257437353912	0.0676790807272011	0.0431749628161352	0.0306104282286163	2181.28460006169	125.459063207996	61.5656797336724
"15"	"IR4"	"IR4-3"	5217	4	11	12	4	13	21	61	0.933649289099526	"F"	0.00630560373391773	0.00707719417825473	0.00716485278913294	0.0257972662650736	0.0163915380764301	0.0100956743695972	0.822662493822911	0.69506549380928	0.529081225762932	20.6419766915068	2184.92321610859	41.821984396273
"17"	"yaaX"	"yaaX-1"	5249	3	6	3	3	2	16	30	0.0574324324324324	"F"	0.00905846826270051	0.0253812321930149	0.0268648831701515	0.0373548396196012	0.0271407913677969	0.0176211051018005	0.824027717537522	0.41868741710046	0.224764674136249	145.768388139601	216.80869523538	3151.58069196952
"19"	"yaaX"	"yaaX-2"	5361	3	9	17	9	6	18	59	0.435810810810811	"F"	-0.00917420982397904	-0.00800140945160653	-0.00884602149816734	0.0218923233258466	0.0204701652102443	0.0187905903349035	0.70336819065602	0.721990458520386	0.6699202441733	1107.33303444058	52.1702437907163	50.2860007055806
"21"	"yaaX"	"yaaX-3"	5471	2	3	4	0	3	3	13	0.807432432432432	"F"	-0.0186946229797755	-0.0180097158148692	-0.0170573377918842	0.010163692805989	0.0113203196750207	0.0126735497526759	0.207235712041141	0.252605380949492	0.310605272909942	27.7979440728773	46.8635656273866	257.287387489775
"23"	"IR5"	"IR5-2"	5614	1	3	2	1	4	3	13	0.562913907284768	"F"	-0.00393167169071425	-0.00193798142214008	0.00094876044391896	0.0260569291769239	0.0218154406345363	0.017897622115192	0.889638994011859	0.934810955372791	0.961056079712636	84.7265335201056	14.8737505367368	80.3585840429285
"25"	"yaaA"	"yaaA-1"	5684	17	49	59	35	65	66	274	0.0038659793814433	"C"	-0.00394113105769143	-0.00335170602049155	-0.00258043086893429	0.0104803957458756	0.0101718423361597	0.00976849042927228	0.731899441630502	0.763437088097121	0.808765105493381	8.6148457405378	4.21654462273285	5.70250998468008
"27"	"yaaA"	"yaaA-2"	6010	7	57	40	40	40	84	261	0.423969072164948	"C"	-0.00269167071681632	-0.00254862616512188	-0.0024573558381632	0.0113616180100918	0.010679453721246	0.00980317098383078	0.827983067332588	0.826751919191118	0.818257013467852	146.459567579091	109.840256597902	108.326340367252
"29"	"yaaA"	"yaaA-3"	6208	6	14	8	22	5	26	75	0.679123711340206	"C"	-0.00280389883009623	0.00606286848583234	0.00643101315564251	0.0360110024548167	0.0281922214307859	0.021686304973915	0.94284000343752	0.843514727565387	0.786157356386595	7.10206973595099	564.443621534594	65.0334258020922
"31"	"IR6"	"IR6"	6518	2	3	6	3	6	15	33	0.882352941176471	"F"	0.0340843324515111	0.0356073085123087	0.0350255848024545	0.0179693750143611	0.0162529026305766	0.0144333430619167	0.154116800929444	0.116164333505122	0.0936047405588456	37.1844120877607	56.547226735975	164.447484142866
"33"	"yaaJ"	"yaaJ-1"	6528	22	108	101	90	81	162	542	0.000699300699300699	"C"	-0.00548029531490987	-0.00434939440617721	-0.00343980057009958	0.00819906476683794	0.00740229394818611	0.00661956512632771	0.551705641389244	0.598115428752017	0.639220161563559	49779.7018448391	1329.39159948787	538.458568888778
