"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"3"	"IR1"	"IR1-1"	29	2	7	11	11	11	16	56	0.148936170212766	"F"	0.0169709704429341	0.0155730442193017	0.0140840478537292	0.00986501876176118	0.00971112951937457	0.00926199243563943	0.183860977229161	0.207129829350475	0.225690310523573	20.0623587503405	7.2715616086193	2.30119428956213
"5"	"IR1"	"IR1-2"	83	2	0	8	1	4	0	13	0.436170212765957	"F"	-0.0636532099258923	-0.073367655633239	-0.0686241023228377	0.13294320692157	0.0742067100219046	0.0404583217975654	0.715721106882293	0.503619550426895	0.339134268465577	10	258.412549656085	6309.60688629834
"21"	"thrC"	"thrC-3"	4995	2	8	3	0	6	4	21	0.981337480559876	"F"	-0.0183474389251116	-0.0247820382531336	-0.0271849828436155	0.0230942596059039	0.0198253448466503	0.0159041130863821	0.510224139077263	0.337728462538879	0.229520706032444	48.8221821576004	169.623063786267	346.870516810513
"23"	"IR4"	"IR4-1"	5024	4	13	1	9	6	8	37	0.018957345971564	"F"	0.00443889140748298	-0.0267880588935961	-0.0280244697193056	0.0557084041912677	0.0240935733528315	0.0105595001163092	0.941508698745561	0.347293041004438	0.0767336903988933	792.403313049736	22.1904142086919	59.9125220072721
"25"	"IR4"	"IR4-3"	5183	4	11	2	16	9	4	42	0.772511848341232	"F"	-0.0157281354813211	-0.0182575986674171	-0.00150677476191599	0.0482835393761627	0.0415018445072818	0.0344022962494631	0.766015455002076	0.689757848662687	0.967817088790788	18.7349217049004	33.076550928819	2149.47999593884
"27"	"yaaX"	"yaaX-1"	5251	5	16	13	19	29	27	104	0.0641891891891892	"F"	0.0199133221149339	0.0187595320494433	0.0173579423432915	0.00931236980932313	0.00862657524088479	0.00816643269947971	0.122040572649592	0.117942972139597	0.123533906675	9.87459550934372	11.0486386319294	23.9301292068419
"29"	"yaaX"	"yaaX-2"	5334	8	18	22	20	24	21	105	0.344594594594595	"F"	-0.00196448471729336	-0.00200187217101427	-0.00203366634570645	0.00573654309813614	0.00590827069566629	0.00605403099162655	0.754600415745374	0.757070792247851	0.759053701873277	86.5370239590632	117.476710933479	204.377050804255
"35"	"yaaA"	"yaaA-1"	5684	16	40	48	45	41	54	228	0.0038659793814433	"C"	-0.00125303789028807	-0.000802054893218717	-0.000445123548372968	0.00805083416778487	0.00783231461915899	0.00756931460956877	0.886199127945648	0.924897669403179	0.956804353931507	6.60897624539125	6.71472218210403	8.71718739721692
"37"	"yaaA"	"yaaA-2"	5967	12	41	48	47	37	43	216	0.368556701030928	"C"	-0.0103984381462026	-0.0095518067249978	-0.00831230442737385	0.00969539852650905	0.0102267005629749	0.0107696826616194	0.36209174496992	0.41920003407076	0.496442222314373	273.987348987037	28.7071179023703	52.8550820918135
"39"	"yaaA"	"yaaA-3"	6319	7	21	22	22	29	33	127	0.822164948453608	"C"	0.00984960133529384	0.00991678550257533	0.00997815518416852	0.00166045505014602	0.0016618839703093	0.00166682030407147	0.00957538895359763	0.00941686084362933	0.00933237727675329	3.36598997789635	3.87936852058195	4.4218824815135
"43"	"yaaJ"	"yaaJ-1"	6528	34	139	146	108	146	201	740	0.000699300699300699	"C"	0.00318838439115478	0.00420611532466206	0.00508987183987247	0.00709810423422555	0.00679782897356475	0.00642658206865753	0.683762602727592	0.579890669669822	0.486206181499273	39.2590672258464	58.3657532378526	88.1841413400389
