"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"3"	"IR1"	"IR1-1"	29	2	10	8	5	3	6	32	0.148936170212766	"F"	-0.0164575510327237	-0.0216858875566415	-0.0246146570508222	0.0112647145793946	0.0110518564299467	0.0108754841261197	0.240161070793316	0.144542474776908	0.108592844333453	50.42546697461	63.710887583309	265.593782659315
"5"	"thrA"	"thrA-1"	645	5	23	0	0	0	0	23	0.125507717303006	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"thrA"	"thrA-2"	1202	8	19	2	5	1	46	73	0.35174654752234	"F"	0.0155330251817404	0.0103524964082341	0.00705198166896888	0.0420118981761364	0.0167575835584916	0.00494532798425665	0.736141980953033	0.580448261601023	0.249120033307148	308.962518066661	5558.22089364029	3908457.41711154
"9"	"thrA"	"thrA-3"	2627	9	51	0	0	0	0	51	0.930544272948822	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"thrB"	"thrB-1"	2905	1	6	0	0	0	0	6	0.112660944206009	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"thrB"	"thrB-2"	3249	3	13	1	0	0	0	14	0.481759656652361	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"thrB"	"thrB-3"	3658	1	4	0	0	0	0	4	0.920600858369099	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"thrC"	"thrC-1"	3744	2	5	0	1	0	0	7	0.00855365474339036	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"thrC"	"thrC-2"	4219	2	5	0	54	1	0	60	0.377916018662519	"F"	-0.0409761606884802	0.0548109735460178	0.083643668466968	0.0963546265689111	0.0931719062308012	0.0415410321693529	0.744018820739542	0.661473793589282	0.293455171791936	16.3461538461538	84.709584643286	24362.3098591268
"21"	"thrC"	"thrC-3"	4760	4	16	0	1	0	0	17	0.798600311041991	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"IR4"	"IR4-1"	5033	2	0	0	2	1	4	7	0.0616113744075829	"F"	0.0250833095469473	0.0268931794706916	0.0272143557098092	0.0175562874815251	0.0139442991810473	0.011594251507155	0.388765658306103	0.304522787811563	0.256396360331661	16.3461538461539	60.3567836132529	206.471093304393
"25"	"yaaX"	"yaaX-1"	5294	4	18	30	28	16	13	105	0.209459459459459	"F"	-0.0150866938092895	-0.0132791928718095	-0.0114394667054787	0.00341423190019324	0.00344585550717299	0.00321087431686074	0.0215167047901701	0.0308639444863015	0.0377468229831245	147.849026672445	120.182819384046	98.3398257989975
"27"	"yaaX"	"yaaX-2"	5338	9	9	13	21	26	32	101	0.358108108108108	"F"	0.0192511808116429	0.017893068593129	0.0146601987285584	0.00694178331098362	0.00805326716114073	0.00959750207747488	0.0693810474341105	0.112849759712012	0.224085310234771	396.178851964668	197940.870591373	85.871274862856
"29"	"yaaA"	"yaaA-1"	5687	17	42	79	77	65	83	346	0.0077319587628866	"C"	0.00376977838591645	0.00388834677726083	0.00397836984410767	0.00286618700711052	0.00304949250143535	0.00324464225935757	0.279916568543298	0.292067229323539	0.307614138154443	254.204602295837	1217.16349421468	76944.6025487705
"31"	"yaaA"	"yaaA-2"	5945	10	20	8	3	12	7	50	0.34020618556701	"C"	-0.0136270144237524	-0.0224906184372309	-0.0223175646014792	0.0247966609277207	0.0176763627170318	0.0113141668698518	0.620892680832298	0.292910827411843	0.143093439934926	33.4404703322114	158.131425653928	5847.10498730333
"33"	"yaaA"	"yaaA-3"	6395	1	0	2	1	0	0	3	0.920103092783505	"C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"yaaJ"	"yaaJ-1"	6621	28	91	146	207	98	128	670	0.0657342657342657	"C"	-0.0029843675575736	-0.00288176441379167	-0.00270896654961181	0.00373537080246658	0.00418074864695508	0.00465006905667823	0.482724421390489	0.54016727328709	0.601082003724659	992.394626113452	2090.02275695614	123.458245460092
"37"	"yaaJ"	"yaaJ-2"	7177	10	10	48	52	23	30	163	0.454545454545455	"C"	0.00336322992580382	-0.00219565844057869	-0.00603473110091073	0.011194571171317	0.0104027759532882	0.0086343246752757	0.783462587612486	0.846360998874989	0.534912063718988	6428.52241882625	149.585624145544	15.4775318072545
"39"	"yaaJ"	"yaaJ-3"	7490	11	21	23	26	17	13	100	0.673426573426573	"C"	-0.0142091114743511	-0.013453419852975	-0.0127918878441287	0.00563465979802328	0.00602158307869407	0.00612916471710162	0.0860457021694825	0.111560475390139	0.128136786754434	3472.87554142409	446.097917156389	169.287213353083
"41"	"IR7"	"IR7-1"	8016	8	10	12	45	14	14	95	0.209386281588448	"F"	1.97354324582713e-05	-0.00200829387626487	-0.00477896413607019	0.0134449393132248	0.0175466994614323	0.0210205993811547	0.998920961142369	0.916108071314682	0.834766533254137	135.661958036751	146.477199107267	42.2693854777213
