"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0170843356841495	0.00509587554195178	NA	"IR1478"	1818642	4	1	0.0279378522239938
"2"	0.0315556910706085	0.0052217206224592	0.0146213340892813	"nudG"	1818809	2	1	0.0279378522239938
"3"	0.0201838657885356	0.00779697385496114	-0.00731349886227356	"dppC"	3634318	5	41	0.0269591085843479
"4"	0.0272986003983622	-0.00435947791564095	-0.000551971787082966	"IR2918"	3636553	2	41	0.0269591085843479
"5"	0.0316079341004155	0.0195650352612395	NA	"ycfL"	1176980	4	3	0.0266398929558593
"6"	0.0216718518113031	-0.00661411466179228	0.00837788688599214	"nagZ"	1178674	5	3	0.0266398929558593
"7"	0.0154332241146604	-0.000122426581324437	NA	"IR922"	1179698	2	3	0.0266398929558593
"8"	0.0193449779331542	0.00434757018244623	-0.013218736325802	"astE"	1803290	7	4	0.0263993006449093
"9"	0.0287507415488277	-0.00537099885217028	-0.00432815593238626	"astA"	1807347	3	4	0.0263993006449093
"10"	0.0230406735269218	0.0145573204399299	NA	"slyA"	1697751	2	5	0.0257313927156164
"11"	0.025816662432864	-0.0140261706630026	0.011895687384701	"hpaB"	4570824	7	42	0.0235990508475174
"12"	0.0169462160914775	-0.0921538033074289	-0.0199369437665421	"hpaA"	4572698	7	42	0.0235990508475174
"13"	0.020198126495978	0.0034783120917597	-0.00719962585699645	"nrfG"	4272940	8	7	0.0232266790978357
"14"	0.0242361966317883	-0.0110397996367893	-0.0115037618751298	"gltP"	4274004	4	7	0.0232266790978357
"15"	0.020449309671253	-0.00891253638879043	0.0111799579730312	"IR1252"	1570750	6	8	0.0229739302763198
"16"	0.0238154704780088	-0.016381112588988	0.00849735427856347	"lsrF"	1572958	3	8	0.0229739302763198
"17"	0.022455426158918	0.00262292411273638	NA	"yfcM"	2387927	3	9	0.022455426158918
"18"	0.0157887904474794	-0.0575582507564023	-0.016864267724565	"mepA"	2389153	3	9	0.022455426158918
"19"	0.0241355955696149	0.0080807323309943	-0.00258357444960923	"pqiB"	1030927	5	10	0.0220686205615655
"20"	0.0158676955374173	-0.0120620254287755	NA	"ymbA"	1032197	3	10	0.0220686205615655
"21"	0.020505746923754	-0.0101845142578111	0.0134367696947476	"yphC"	2595402	9	11	0.0220060014770955
"22"	0.0225060863282094	0.0042284457216757	-0.00319439947273194	"yphD"	2597302	5	11	0.0220060014770955
"23"	0.0219744604999666	-0.0112217710335793	NA	"flgM"	1144694	2	12	0.0209822296074791
"24"	0.0180055369300166	-0.0118131294357171	NA	"IR890"	1144707	5	12	0.0209822296074791
"25"	0.0209601901345235	-0.0921538033074288	NA	"ascG"	2733277	5	13	0.0206786614140555
"26"	0.0198340752526513	0.010884915718409	-0.00554272208569473	"ascF"	2734467	6	13	0.0206786614140555
"27"	0.0213575914827599	-0.00608293355282199	0.00745223797275244	"alsC"	4287314	6	14	0.0203613078046775
"28"	0.0173724567704305	-0.0210689112288963	0.00696976885995724	"rpiR"	4291105	4	14	0.0203613078046775
"29"	0.0214313137043894	-0.0275957513565993	-0.0674415574031212	"fhuD"	173847	6	15	0.0198295136951431
"30"	0.0150241136674042	0.00433890196602554	0.019211089785116	"IR127"	176295	5	15	0.0198295136951431
"31"	0.018137516580652	-0.0513856518493704	-0.0150738982397651	"ECB_02536"	2703168	6	16	0.0192161839942867
"32"	0.0195757397988316	-0.00642252594477024	0.0162482088362232	"ygaH"	2705472	3	16	0.0192161839942867
"33"	0.0180131772401275	0.0190435553610354	0.00330629030577289	"yfhA"	2608737	11	17	0.019206944558481
"34"	0.0254866643349786	-0.0047223897225189	-0.00347301006711023	"IR2085"	2610282	3	17	0.019206944558481
"35"	0.0166460549081164	-0.00430465774103222	-0.0116186539247549	"yfhK"	2610440	7	17	0.019206944558481
"36"	0.0186306547556156	0.022387730060813	NA	"ECB_misc_RNA_21"	2611922	4	17	0.019206944558481
"37"	0.0150966808312091	-0.00479722579306511	0.00846349587381074	"yghZ"	3082874	5	18	0.018941766114018
"38"	0.0214646289062371	-0.00993768482164401	-0.0654814158450785	"yqhA"	3083457	2	18	0.018941766114018
"39"	0.0164189033217988	-0.0135084249188406	0.00951333705041195	"yghA"	3083864	3	18	0.018941766114018
"40"	0.0160456644370937	-0.00730412706948244	NA	"wzzE"	3931541	10	19	0.0186488447331722
"41"	0.0166712276581734	-0.0187992957572595	NA	"rffD"	3933525	6	19	0.0186488447331722
"42"	0.0206264618081711	0.00443194160075594	-0.000465944311038696	"yifK"	3942833	8	19	0.0186488447331722
"43"	0.0192809103181774	-0.0387795772907943	-0.000451386624462536	"ECB_03715"	3986542	4	20	0.0183448464535865
"44"	0.0155366548598136	-0.000371267813339344	0.0137745079925629	"ysgA"	3988602	7	20	0.0183448464535865
"45"	0.0184605038646349	0.00162251857934635	NA	"hpaF"	4576251	4	21	0.0180406852612175
"46"	0.0167812294509653	-0.0237848242665324	-0.0107516388905989	"hpaE"	4578048	8	21	0.0180406852612175
"47"	0.0188152742767892	0.00475453521136552	0.000774885669840541	"cynX"	332566	7	22	0.0180145062732363
"48"	0.0156122022625778	-0.0406582154674656	0.00921794778070369	"IR257"	334436	2	22	0.0180145062732363
"49"	0.0154020568374098	-0.0042487827122758	NA	"ECB_02833"	3033083	4	43	0.0178824314884504
"50"	0.0187092230387973	0.00700157813570132	-0.00994497580996676	"yghF"	3039457	2	43	0.0178824314884504
"51"	0.0166770699705621	0.0155610148960841	0.0150705711308734	"yjdP"	4292706	4	24	0.017808247487073
"52"	0.0163070671676804	-0.00765004376719124	-0.0295056102353755	"phnJ"	4298231	5	24	0.017808247487073
"53"	0.0178004658170162	-0.00230783279073402	0.0066596495091947	"phnI"	4298880	7	24	0.017808247487073
"54"	0.0167434044113354	0.0206754175398129	-0.0311355038140568	"phnH"	4300048	2	24	0.017808247487073
"55"	0.0181631951789855	-0.00273950057955083	-0.00210465715874577	"phnE"	4301618	5	24	0.017808247487073
"56"	0.0185877116384074	-0.0050618223296972	-0.00363509208678994	"yejA"	2223638	11	25	0.0177946205294048
"57"	0.015415347202397	-0.00125165148809021	NA	"yejG"	2229381	3	25	0.0177946205294048
"58"	0.0166403978069751	-0.00332233301825979	-0.00768240532860548	"fruK"	2212630	6	26	0.0177227031607336
"59"	0.0180834716119864	0.0287402749766976	0.00594408203772126	"fruB"	2214389	9	26	0.0177227031607336
"60"	0.0171431012538943	0.00297304457926331	0.00837508856053749	"yicC"	3755043	11	27	0.0177124784424272
"61"	0.0180536844520119	0.00143571017208333	-0.00255366752184312	"bglJ"	4593681	13	28	0.0174450357356378
"62"	0.0156190895865155	-0.00376645519459011	0.00977156887154264	"fhuF"	4594544	5	28	0.0174450357356378
"63"	0.0150248416202763	0.00254659163863676	0.0102618333462733	"entE"	609871	13	29	0.0173117468885114
"64"	0.0169098896792449	0.0171191870753571	0.00451834781428645	"entB"	610407	8	29	0.0173117468885114
"65"	0.0171125979731153	-0.0197460116184726	0.00285867993871983	"entA"	611534	7	29	0.0173117468885114
"66"	0.0169501009877901	0.0163648593940625	-0.00490717171317888	"mhpB"	343157	5	30	0.0169836549368937
"67"	0.0170843167842046	-0.00649547029954342	0.00396347171525513	"mhpT"	347958	5	30	0.0169836549368937
"68"	0.0156899614880653	-0.00727522610101051	0.0107785011220156	"yaiL"	349332	3	30	0.0169836549368937
"69"	0.0181368496674129	0.000246775892900699	0.000755261900682224	"fes"	595948	8	31	0.0168108852000994
"70"	0.015484920732786	0.00307952309345749	0.00241562611425915	"entF"	596958	16	31	0.0168108852000994
"71"	0.0151348294266053	-0.00821899972102371	0.000539584504729524	"fepC"	602687	7	31	0.0168108852000994
"72"	0.0164011500233368	-0.00113057271825151	0.0116709291714405	"norW"	2729248	7	32	0.0168035705555438
"73"	0.0173031891917588	-0.00380107782737049	0.00570755160113896	"IR2449"	3072627	6	33	0.0167347164163611
"74"	0.0150292980901681	-0.00514130369502191	-9.04914531067439e-05	"yghU"	3073406	9	33	0.0167347164163611
"75"	0.0161492838711653	0.0121049854081733	0.00075517793456671	"dinG"	827245	10	34	0.0166315364647086
"76"	0.0167922873292231	-0.0150342982055066	0.00180063600657323	"ybiC"	829631	4	34	0.0166315364647086
"77"	0.0154397058695604	0.00922654831916053	-0.00988260483805473	"flgE"	1147964	9	44	0.0162919328210159
"78"	0.0165760084715011	0.0108094928907581	0.0122682659361583	"flgI"	1151242	7	44	0.0162919328210159
"79"	0.0162134400434817	0.0105009744754862	0.0136528474934963	"IR2809"	3481519	10	36	0.0160491655428884
"80"	0.0155563420411085	0.0115440582374574	-0.00620468028445157	"malT"	3482811	13	36	0.0160491655428884
"81"	0.0150688784163391	0.00694371070002331	-0.0235082261974168	"IR1758"	2165843	5	37	0.0158387864764081
"82"	0.0160954224964311	-0.0195222071966131	-0.00506319584573071	"mlrA"	2166333	4	37	0.0158387864764081
"83"	0.0158223509431058	-0.00476877860741714	0.000673364655268507	"napB"	2248515	3	38	0.0157464832271746
"84"	0.0155188800793809	0.021992057548102	0.00360621029777423	"napA"	2251302	12	38	0.0157464832271746
"85"	0.0155694377912792	0.0410765338279636	0.0341898330002337	"ybaL"	474190	10	39	0.0156327521154125
"86"	0.0156538568901236	-0.00562269724340091	-0.00239850355242074	"fsr"	475616	4	39	0.0156327521154125
