"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"
"5"	"IR1"	"IR1-2"	66	3	23	3	6	7	23	62	0.345744680851064	"F"	0.00982692780057068	-0.0120815263329283	-0.0147107322541033	0.0465531589079875	0.0285965228146441	0.0154300840258164	0.846342587944687	0.701125367561428	0.410732185651864	2049.47772468444	471.033655732596	10660.2638217958
"31"	"yaaX"	"yaaX-1"	5233	4	4	14	20	4	14	56	0.00337837837837838	"F"	0.0159297857873555	-7.20636916094266e-05	-0.0103846919921814	0.0313054088984672	0.030655803187469	0.0245901499744373	0.645919238581866	0.998271964084011	0.701237556197797	196.444323438981	6.8174151256454	14224.8395188917
"33"	"yaaX"	"yaaX-2"	5332	8	14	25	27	17	33	116	0.337837837837838	"F"	0.0170808494499433	0.0133765022751616	0.00978831025068855	0.00945581443589383	0.00934625373489559	0.00875479231614228	0.168598885910425	0.247759196987249	0.34500828064561	4505.35959598989	1220.27350627489	211.633021050374
"41"	"yaaA"	"yaaA-2"	5955	10	52	69	74	36	57	288	0.353092783505155	"C"	-0.00995481175671904	-0.0100529765745879	-0.0101693481008182	0.0078583294896189	0.00838640418409074	0.00890143605000315	0.294643715879918	0.316690936132222	0.336189794243074	298.23472198776	1595.45471432833	3400.8567418099
"43"	"yaaA"	"yaaA-3"	6210	7	45	40	24	16	33	158	0.681701030927835	"C"	-0.0260543191857502	-0.0277890280637187	-0.0280395019439751	0.0132125896586407	0.0109396093403055	0.00918980087792896	0.143177266333391	0.08466314318702	0.0553775775436686	121.724575649341	44.8651452807206	100.393505834492
"45"	"IR6"	"IR6"	6479	4	0	15	5	3	8	31	0.308823529411765	"F"	-0.0400749414106423	-0.0541698956396188	-0.0571139799280272	0.0407323222578705	0.0327376477591885	0.025890406466609	0.428911958540155	0.239819755809675	0.158141209166836	49.1316469318762	154.380442196481	574.956642798556
"47"	"yaaJ"	"yaaJ-1"	6530	35	110	106	151	98	168	633	0.0020979020979021	"C"	0.00864083577274661	0.00872588698576814	0.0087862855105147	0.00411677071096347	0.00429560857695802	0.00450215755883677	0.126693555174545	0.135167911640458	0.146049197957206	492.025921625171	1650.08001381035	39408.7187099612
"49"	"yaaJ"	"yaaJ-2"	7006	18	118	131	138	83	164	634	0.334965034965035	"C"	0.000114330919442669	8.3817729751482e-06	-0.000103535446064302	0.00324678456728123	0.00323864992354087	0.00322837650547781	0.974121442151283	0.998097517230152	0.97643024166	6703.84564075382	820.99325537945	345.496126474548
"51"	"yaaJ"	"yaaJ-3"	7563	12	39	75	62	39	49	264	0.724475524475524	"C"	-0.00589747974214183	-0.00864206673930817	-0.0120061692083854	0.0155334784022188	0.0169846095739323	0.0176273422965951	0.729478264322143	0.64594004488578	0.544664924258153	35726.063059437	245.340385007866	87.3381738142924
"53"	"IR7"	"IR7-1"	7961	14	44	88	97	23	68	320	0.0108303249097473	"F"	-0.0100185396321805	-0.0122586538536708	-0.0144474885486896	0.0213586665311635	0.0219072877300767	0.0212341761231	0.671008679966886	0.614833431895886	0.545063198566838	44.390853762387	72.6082969758509	8.28560398626601
"55"	"IR7"	"IR7-2"	8057	3	30	44	42	22	48	186	0.357400722021661	"F"	0.000789438648114503	-0.000632329452806904	-0.00220002955045052	0.00804804275982263	0.00854945475433486	0.0088935259422723	0.928046705195204	0.945696591244626	0.820582217526253	305.689501924405	103.108856563599	76.8926287695029
"57"	"IR7"	"IR7-3"	8177	8	21	24	27	16	33	121	0.790613718411552	"F"	0.00457707423591851	0.00448762239148418	0.00438951499746413	0.00268890046219803	0.0026964179351451	0.00269828628968522	0.187269652023141	0.194642938543232	0.202261180893804	22.1895426720555	22.4459107706026	22.9838296162375
"59"	"talB"	"talB-1"	8266	11	19	19	16	15	18	87	0.0314795383001049	"F"	-0.00811176694159226	-0.00598426171126629	-0.00342573302942289	0.0118011925442564	0.0117656234861043	0.0113722878705718	0.541222916493423	0.646061486166004	0.782907641887575	181.902684877816	4673192.58819012	2968.45560776133
"69"	"IR8"	"IR8-3"	9287	2	3	10	2	1	0	16	0.858407079646018	"F"	-0.0601200196314053	-0.0592941474427201	-0.0184477949026624	0.0593287058720745	0.0942714527638172	0.120968072017702	0.417550147628669	0.593627883381887	0.892786811263897	39.2126779884678	28.2957523509111	141.140127987643
"71"	"mogA"	"mogA-1"	9309	12	21	30	40	11	19	121	0.00851788756388416	"F"	-0.0210401895449432	-0.0187381809958586	-0.0138294984594276	0.015934688232045	0.0187455528157591	0.0210518240036695	0.27840010157637	0.391164861393099	0.558126341968666	22.8299444292779	14.6477296829194	16.0860486037386
"75"	"mogA"	"mogA-3"	9700	12	50	52	86	27	55	270	0.674616695059625	"F"	-0.0099219095595008	-0.00872784288470881	-0.00674939607831789	0.0109863118010171	0.0126681181227565	0.0143828770997125	0.433033137516423	0.540349501826804	0.670878504313867	430.349326662463	63.4135275480395	40.7895626548897
"77"	"yaaH"	"yaaH-1"	9977	6	29	17	26	5	31	108	0.0901060070671378	"C"	-0.0193382209874809	-0.0117224964997587	-0.00927293568824156	0.0271607444593827	0.018891381230523	0.0129845406095505	0.527844818244256	0.578864016080078	0.526683643087027	118.017432105647	17079.0057542616	332.054892168507
"79"	"yaaH"	"yaaH-2"	10156	8	33	36	49	14	43	175	0.406360424028269	"C"	-0.00917369961693358	-0.00679302637519149	-0.00482055229916085	0.0130691806520318	0.0116735154054751	0.0103416373958815	0.533277418987148	0.601465944027285	0.672880849763989	26.596366313663	22.7821348097165	35.9550086240485
"81"	"yaaH"	"yaaH-3"	10320	9	16	33	18	10	28	105	0.696113074204947	"C"	-0.00405038571515211	-0.00881592068726005	-0.0138574662491056	0.019037918207463	0.0208008434025721	0.0209690441543133	0.845155802392869	0.700246333112878	0.555923254847134	8.50199832476001	23.4391233315455	72.2932712588269
"85"	"IR10"	"IR10-2"	10572	2	0	10	6	6	10	32	0.537414965986395	"F"	-0.00400174034223721	-0.00859928630459027	-0.0111096994823869	0.0257418906239141	0.0210333356136465	0.0164839751688987	0.890733928391672	0.722278380823066	0.569788242225583	35.2505172609908	154.289163762374	2225.91002053455
"89"	"htpY"	"htpY-1"	10689	8	13	13	7	4	20	57	0.0673211781206171	"C"	-0.00769884324691227	-0.000804534719966415	0.00323444503232459	0.0259258933531134	0.0201195862995867	0.014161177230819	0.785873914237267	0.970615320245477	0.834016766116293	30.0276843600961	114.932809380549	642.575847336021
"99"	"yaaI"	"yaaI-2"	11518	9	56	56	41	22	69	244	0.341584158415842	"C"	-0.010704784973996	-0.00914217999487182	-0.00760079708909234	0.0143994904269114	0.0125981899642331	0.0107122337880139	0.511157256958271	0.52052530992817	0.52916298828096	21.0713908251099	33.0711155832769	53.1112990892397
"101"	"yaaI"	"yaaI-3"	11708	2	5	3	0	2	1	11	0.811881188118812	"C"	-0.0574779425282856	-0.041501566490352	-0.0332142320269407	0.0241022629725004	0.020702524639912	0.0155820822180111	0.13987090901649	0.182870464028117	0.166719402585149	210.253470639414	26.586494950029	90.3136597877609
"103"	"IR12"	"IR12-1"	11786	3	2	3	4	1	3	13	0.00266666666666667	"F"	-0.00725622241249059	-0.00641071060069904	-0.00570452554961432	0.0172268408312002	0.0170488385889416	0.0165322106689483	0.701954881067238	0.731917913714508	0.752828363432445	8.61344977931734	867.007802937524	6.03262989800466
"105"	"IR12"	"IR12-2"	12026	2	10	11	4	7	6	38	0.642666666666667	"F"	-0.0251066132841129	-0.019624541687878	-0.0120064414021157	0.0272462153761455	0.0220412629593937	0.0166904232860778	0.424764055598841	0.438867092710394	0.523892283070599	59.627625617175	10.3391147756107	48.1703809334764
"107"	"IR12"	"IR12-3"	12038	5	23	35	49	18	58	183	0.674666666666667	"F"	0.0149086667125855	0.0147469540644787	0.0140992167164001	0.0122731769798912	0.0117283603749876	0.0107762219156706	0.311355992001864	0.297594784309949	0.281963548968817	6.84575456967286	3.50667570208435	3.04797427217581
"115"	"IR14"	"IR14-2"	15353	2	23	7	9	4	2	45	0.386206896551724	"F"	-0.08487120441885	-0.0816792192815897	-0.0837706252428728	0.0210307645971497	0.0194837199814364	0.0184503870740842	0.0273661524183432	0.0247539442502394	0.0200045648741456	61.6165201088777	2799.24366501343	2626088.41720522
"123"	"hokC"	"mokC-2"	16856	2	2	3	2	2	1	10	0.703947368421053	"C"	-0.0298948430239833	-0.0119254538877286	0.000588472869515642	0.0257477532037573	0.0259057663321401	0.0212520479854774	0.329606238817083	0.676588289667034	0.979648278035371	173.744167818642	29.2594502972945	31.5842319342406
"125"	"hokC"	"mokC-3"	16891	8	32	38	36	23	25	154	0.934210526315789	"C"	-0.0179146413634962	-0.0145845129103881	-0.0113307269855495	0.010558939912486	0.010734870152755	0.0105177818812956	0.188334076155718	0.267401375079177	0.360260411584538	3062.31137996634	145.024781694777	43.058894264177
"127"	"IR16"	"IR16-1"	16960	13	34	54	45	35	53	221	0.00189393939393939	"F"	0.00391061871195581	0.00229246352788543	0.000444526975531966	0.0110354079075581	0.011671663892709	0.0119266473320319	0.746506875244934	0.856839607028423	0.972609800230948	14.5389465811699	11.7769545774059	16.2683305781085
"129"	"IR16"	"IR16-2"	17214	2	2	5	1	0	0	8	0.482954545454545	"F"	-0.0682013856211554	-0.00829549347624236	0.0678440516949821	0.119001637966946	0.159691670777818	0.143089124216075	0.668693526183705	0.966959250163632	0.718139694741057	10	3.87908653846154	41.5862296499856
"131"	"IR16"	"IR16-3"	17332	4	11	7	3	1	9	31	0.706439393939394	"F"	-0.0382558318064691	-0.0263628850738832	-0.021365697725838	0.0405105500424891	0.025665048118855	0.0154077330479557	0.414662572758089	0.379911318861561	0.259614625420321	145.307305682924	1004.46860679789	1254.08358675734
"133"	"nhaR"	"nhaR-1"	18735	21	55	114	105	61	93	428	0.0232044198895028	"F"	0.00347384283439638	-0.00192795000911463	-0.00767508005623146	0.0148653923333921	0.0157040777187241	0.0154494391673154	0.830266878266136	0.910053893780995	0.65346247214277	398.775545514269	831595.037289089	279.655340672351
"135"	"nhaR"	"nhaR-2"	19048	14	39	25	41	18	46	169	0.369060773480663	"F"	-0.00290125900067038	-0.00395947128312654	-0.00473518124290464	0.0102910185941311	0.00949004671893141	0.00857580825911391	0.796333279227752	0.704573941187981	0.619313189695599	108.467199490013	392.319693610773	4680.58788834253
"137"	"nhaR"	"nhaR-3"	19337	9	19	24	29	19	30	121	0.688397790055249	"F"	0.00730736834901436	0.00710087195411121	0.00691300503684632	0.0060784287424141	0.00632644902813661	0.00655945357147091	0.315531202575325	0.343415465512761	0.369309975014392	1323.29231556746	49069.5857833889	2133.10466837623
"149"	"ECB_00021"	"ECB_00021-3"	21599	3	5	6	3	0	6	20	0.846288209606987	"C"	-0.00942206303459149	-0.00893022542587776	-0.00823192707511959	0.023589094646357	0.0188811713698063	0.0151048640405009	0.7281970846288	0.682827635384652	0.640413515524508	113.307939291434	134.142565700567	7.79677916968592
"151"	"IR20"	"IR20-1"	21825	4	11	14	6	5	2	38	0.11368909512761	"F"	-0.0697415232773034	-0.0465851821669967	-0.0306741008586259	0.0265496694404432	0.0262741808607951	0.0243750719945795	0.0785386034910739	0.174332693061436	0.297265415916687	52.4831047586489	14.8080144037745	276.281572912049
