"R"	"M"	"K"	"name"	"site"	"abn"	"block"	"bvalue"
"1"	0.0302853344788029	-0.0414903806029115	0.0302853344788029	"ECB_02039"	2142739	2	1	0.036369559953695
"2"	0.0291674139435222	-0.0261342162877459	0.0291674139435222	"IR1941"	2427653	2	2	0.0321489146429873
"3"	0.0278109752503486	-0.0304839276199317	0.0278109752503486	"IR2290"	2871017	2	3	0.0318604779110966
"4"	0.0326402803686061	NA	0.0326402803686061	"menC"	2321516	2	4	0.0302145675579864
"5"	0.0229374291261273	-0.00694876613494217	0.0229374291261273	"IR1862"	2327187	4	4	0.0302145675579864
"6"	0.034044941806879	-0.00120032354796177	0.034044941806879	"IR1091"	1367116	5	5	0.0294999365439682
"7"	0.0158649207552357	-0.0673065129445181	0.0158649207552357	"pspD"	1367973	2	5	0.0294999365439682
"8"	0.0288334400357548	-0.00361752396331432	0.0288334400357548	"IR2157"	2694860	2	6	0.0292110613119449
"9"	0.027499294158596	-0.0130056483201237	0.027499294158596	"ygaM"	2694886	3	6	0.0292110613119449
"10"	0.0236340209470377	-0.0198340032929193	0.0236340209470377	"IR58"	73009	2	7	0.0266563961233973
"11"	0.0256098471364507	-0.0161231990337574	0.0256098471364507	"IR1313"	1625055	2	8	0.026653066197514
"12"	0.0153157791974484	0.0228954929070599	0.0153157791974484	"evgA"	2418581	2	9	0.0257812017896747
"13"	0.0247536046752628	-0.00751140230125064	0.0247536046752628	"yfdE"	2422251	4	9	0.0257812017896747
"14"	0.0268087989040866	-0.0117101446194548	0.0268087989040866	"yfdV"	2423666	4	9	0.0257812017896747
"15"	0.0246887177937062	-0.00697528421831216	0.0246887177937062	"csgF"	1116649	4	10	0.0251815961109058
"16"	0.0256744744281053	-0.0100796607821644	0.0256744744281053	"IR860"	1117833	2	10	0.0251815961109058
"17"	0.0215927424085373	0.00152128634309719	0.0215927424085373	"csgB"	1118623	3	10	0.0251815961109058
"18"	0.024923217557206	-0.010366903949704	0.024923217557206	"IR220"	282995	5	11	0.0250124165921141
"19"	0.0240219211011293	0.00140796665770168	0.0240219211011293	"cls"	1305657	5	12	0.0248116615005261
"20"	0.0231352638763429	0.00813558446418215	0.0231352638763429	"IR3191"	3973556	4	13	0.0246090246757483
"21"	0.0230332121852983	0.00431048894535638	0.0230332121852983	"yjjA"	4589213	4	14	0.0242306043891033
"22"	0.0246297351237049	0.000543019280744998	0.0246297351237049	"ECB_04240"	4591024	2	14	0.0242306043891033
"23"	0.0227545374244114	-0.0101259136267854	0.0227545374244114	"ykgH"	297483	5	15	0.0230347645931438
"24"	0.018951008985091	-0.0118082751352908	0.018951008985091	"yqeF"	2879033	4	16	0.022984015731874
"25"	0.024328351314135	0.0118998963797636	0.024328351314135	"yqeG"	2881479	8	16	0.022984015731874
"26"	0.0215052818190656	-0.0850055024308321	0.0215052818190656	"IR242"	316730	4	17	0.0229210907687053
"27"	0.0233930270852518	-0.0217030195201192	0.0233930270852518	"yahL"	317196	2	17	0.0229210907687053
"28"	0.0209432239696356	-0.00392113187525908	0.0209432239696356	"IR1562"	1907418	5	18	0.0224510602206763
"29"	0.0185859980096019	-0.00466851449017983	0.0185859980096019	"yedW"	1976600	5	19	0.0223639703816731
"30"	0.0236232945056969	-0.0176471012551729	0.0236232945056969	"IR1624"	1976881	2	19	0.0223639703816731
"31"	0.026022562938065	-0.0347357628506487	0.026022562938065	"ybcQ#2"	1618076	2	20	0.0223375029070649
"32"	0.0186524428760649	-0.00154308520065989	0.0186524428760649	"ydfU"	1618210	2	20	0.0223375029070649
"33"	0.0174174964080877	0.0190390546992277	0.0174174964080877	"ECB_01530"	1618821	2	20	0.0223375029070649
"34"	0.0218603621748009	-0.0220247778239019	0.0218603621748009	"IR1942"	2428628	4	21	0.0219919856465954
"35"	0.016968901566897	-0.0294818400121321	0.016968901566897	"IR1643"	2000357	4	22	0.0218431556015221
"36"	0.0234679069463971	-0.0517762954897598	0.0234679069463971	"erfK"	2000392	6	22	0.0218431556015221
"37"	0.0180065510736831	-0.00325149594775006	0.0180065510736831	"ECB_04214"	4559155	10	23	0.0214557595969944
"38"	0.0226054957714315	-0.00998454891655538	0.0226054957714315	"IR3662"	4561151	5	23	0.0214557595969944
"39"	0.020340038648464	-0.0158112182098244	0.020340038648464	"IR2163"	2704379	5	24	0.0214159686091279
"40"	0.0230473743733299	-0.000246616445792686	0.0230473743733299	"ECB_02004"	2117408	12	25	0.02133779712441
"41"	0.0162090653776502	-0.00876134273925186	0.0162090653776502	"ECB_02005"	2119002	3	25	0.02133779712441
"42"	0.0196280551927432	-0.0155378239443826	0.0196280551927432	"IR1449"	1783363	2	26	0.0212864517655304
"43"	0.0204420371015758	0.0110554422651171	0.0204420371015758	"ECB_02257"	2393532	10	27	0.0209863936111221
"44"	0.0215307501206684	-0.00255348746459986	0.0215307501206684	"ECB_02258"	2394196	6	27	0.0209863936111221
"45"	0.0179137877147601	0.0321385993242397	0.0179137877147601	"ECB_02259"	2394267	3	27	0.0209863936111221
"46"	0.0153603876200869	-0.0051128276770236	0.0153603876200869	"ECB_01341"	1421247	3	28	0.0209374734866053
"47"	0.01888870485811	-0.0118263524488839	0.01888870485811	"IR1140"	1421609	8	28	0.0209374734866053
"48"	0.0229862421151006	-0.00348314247415348	0.0229862421151006	"ECB_01342"	1422615	12	28	0.0209374734866053
"49"	0.0163657706896313	-0.00917218971939956	0.0163657706896313	"pdxY"	1692261	5	29	0.0205666775148578
"50"	0.0219669797899333	-0.0181591008321361	0.0219669797899333	"ydhA"	1695486	2	29	0.0205666775148578
"51"	0.0213944431200774	0.0144150962665232	0.0213944431200774	"mhpD"	345350	4	30	0.0203562699874976
"52"	0.0172417505897582	-0.0105696549265346	0.0172417505897582	"mhpT"	348808	5	30	0.0203562699874976
"53"	0.0229385999276503	NA	0.0229385999276503	"IR952"	1215901	3	31	0.0199339411731125
"54"	0.0168282616699665	0.00960286076975803	0.0168282616699665	"ycgZ"	1216075	2	31	0.0199339411731125
"55"	0.018559724123485	-0.0304962890432671	0.018559724123485	"flgA"	1145001	4	32	0.0199327250497426
"56"	0.0156059402536408	-0.0038362477779279	0.0156059402536408	"flgG"	1149311	5	32	0.0199327250497426
"57"	0.0213057259760003	0.000138769878646088	0.0213057259760003	"flgH"	1150558	4	32	0.0199327250497426
"58"	0.0206993253530977	0.000930716719661864	0.0206993253530977	"ECB_03524"	3786210	4	33	0.0195191509770337
"59"	0.0159786278488416	-0.0418154727206384	0.0159786278488416	"ECB_03525"	3786385	5	33	0.0195191509770337
"60"	0.021616904701893	-0.00779608076797207	0.021616904701893	"IR1359"	1681700	2	34	0.0194553422440921
"61"	0.0194553422440921	-0.00614749346648886	0.0194553422440921	"blr"	1681868	2	34	0.0194553422440921
"62"	0.0175405792108374	NA	0.0175405792108374	"ydgT"	1682347	4	34	0.0194553422440921
"63"	0.0155787329989452	0.0098669910134061	0.0155787329989452	"ydgK"	1682445	1	34	0.0194553422440921
"64"	0.0164810344932049	-0.014409423036567	0.0164810344932049	"yedY"	1977478	5	35	0.0193690868475489
"65"	0.0203317709656636	0.00805760044563733	0.0203317709656636	"yedZ"	1979016	10	35	0.0193690868475489
"66"	0.0154892660115716	-0.00776927058907488	0.0154892660115716	"ydiN"	1750632	6	36	0.0193252571938891
"67"	0.0206039209213283	0.000763446943779934	0.0206039209213283	"ydiF"	1753514	8	36	0.0193252571938891
