"gene"	"ann"	"ara"	"max"	"tmax"	"tmin"	"pos"	"per"	"reanno"	"par"	"fix"
"thrL"	"missense"	"m1"	0.0483870967742	49500	47000	241	3	"thrL"	3	0
"thrA"	"missense"	"m1"	1	28500	25500	1615	50	"thrA"	11	9
"yaaA"	"missense"	"m1"	0.263157894737	40000	7500	6046	8	"yaaA"	3	0
"yaaA"	"missense"	"m1"	0.0862068965517	50000	48000	6220	5	"yaaA"	3	0
"yaaJ"	"missense"	"m1"	0.0588235294118	32000	16500	6987	7	"yaaJ"	6	1
"yaaJ"	"missense"	"m1"	0.11320754717	42500	35500	7406	9	"yaaJ"	6	1
"yaaJ"	"missense"	"m1"	0.03125	20000	20000	7728	1	"yaaJ"	6	1
"talB"	"missense"	"m1"	0.0153846153846	35000	11000	8430	3	"talB"	4	1
"yaaH"	"missense"	"m1"	0.961538461538	33000	19500	10269	49	"yaaH"	3	1
"dnaK"	"missense"	"m1"	0.95	48000	28500	12527	42	"dnaK"	4	0
"dnaK"	"missense"	"m1"	0.558139534884	49500	7500	13974	21	"dnaK"	4	0
"dnaJ"	"missense"	"m1"	0.9	37500	17000	14590	46	"dnaJ"	4	2
"dnaJ"	"missense"	"m1"	0.0333333333333	44500	12000	15018	2	"dnaJ"	4	2
"mokC"	"sv"	"m1"	1	17500	1000	16972	95	"IR16"	11	8
"nhaA"	"promoter"	"m1"	0.453125	29000	10500	17424	19	"IR16"	11	8
"intergenic"	"intergenic"	"m1"	0.128571428571	41500	500	21407	6	"ECB_00021"	6	1
"intergenic"	"intergenic"	"m1"	0.25	37500	14500	21417	12	"ECB_00021"	6	1
"intergenic"	"intergenic"	"m1"	0.228260869565	47500	29500	22358	9	"ECB_00022"	5	1
"rpsT"	"promoter"	"m1"	0.0116279069767	46000	46000	24481	1	"IR23"	4	0
"intergenic"	"intergenic"	"m1"	0.0625	36500	35500	24765	6	"IR23"	4	0
"ribF"	"missense"	"m1"	0.157142857143	35000	16000	26045	13	"ribF"	4	1
"ileS"	"missense"	"m1"	0.0175438596491	17000	6000	28868	2	"ileS"	7	1
"ispH"	"missense"	"m1"	0.1875	43000	2500	30592	5	"ispH"	5	0
"rihC"	"missense"	"m1"	1	37500	27500	31535	44	"rihC"	4	2
"rihC"	"missense"	"m1"	0.0571428571429	50000	31500	31603	5	"rihC"	4	2
"intergenic"	"intergenic"	"m1"	0.911764705882	44000	6000	32319	16	"IR30"	3	1
"dapB"	"missense"	"m1"	0.0862068965517	27500	27000	32645	5	"dapB"	4	0
"intergenic"	"intergenic"	"m1"	0.404761904762	42000	31500	33522	28	"IR32"	3	0
"carA"	"promoter"	"m1"	0.410256410256	42000	38500	33663	22	"IR32"	3	0
"carA"	"missense"	"m1"	0.10447761194	28000	14500	34218	6	"carA"	5	1
"carB"	"missense"	"m1"	0.868131868132	33000	30000	35850	40	"carB"	6	2
"carB"	"frameshift"	"m1"	0.08	2500	2000	36565	4	"carB"	6	2
"carB"	"missense"	"m1"	0.0147058823529	36000	16000	36672	3	"carB"	6	2
"carB"	"missense"	"m1"	0.821428571429	48500	26500	37293	14	"carB"	6	2
"carB"	"missense"	"m1"	0.1	39000	15000	37906	11	"carB"	6	2
"carB"	"nonsense"	"m1"	0.0169491525424	49500	22500	38107	2	"carB"	6	2
"caiE"	"missense"	"m1"	0.407407407407	43000	9500	39023	11	"caiE"	4	0
"caiD"	"nonsense"	"m1"	0.111111111111	45000	33000	39572	7	"caiD"	5	2
"caiD"	"missense"	"m1"	1	37500	28000	39986	42	"caiD"	5	2
"caiC"	"missense"	"m1"	0.0612244897959	47500	8000	41890	5	"caiC"	5	2
"intergenic"	"intergenic"	"m1"	0.477272727273	46000	12000	44065	19	"caiA"	6	2
"intergenic"	"intergenic"	"m1"	0.0140845070423	15500	15500	44258	1	"caiA"	6	2
"caiT"	"missense"	"m1"	0.428571428571	43000	500	44987	11	"caiT"	7	4
"caiT"	"missense"	"m1"	0.027027027027	4000	4000	45079	3	"caiT"	7	4
"intergenic"	"intergenic"	"m1"	1	28000	21500	46353	51	"IR41"	3	2
"fixA"	"missense"	"m1"	0.0689655172414	43500	5000	47298	5	"fixA"	4	0
"fixB"	"missense"	"m1"	0.0243902439024	50000	49500	47740	2	"fixB"	6	0
"fixC"	"missense"	"m1"	0.027027027027	13500	13500	49157	2	"fixC"	6	2
"fixX"	"missense"	"m1"	0.0862068965517	28500	14500	49710	6	"fixX"	2	0
"yaaU"	"missense"	"m1"	0.1875	47500	45000	50263	7	"yaaU"	5	1
"yaaU"	"missense"	"m1"	0.0609756097561	47500	17000	50413	6	"yaaU"	5	1
"kefC"	"missense"	"m1"	0.0754716981132	48000	8500	52151	9	"kefC"	4	1
"kefC"	"missense"	"m1"	0.0169491525424	49000	6500	52445	3	"kefC"	4	1
"folA"	"missense"	"m1"	0.615384615385	46000	36500	54234	14	"folA"	3	0
"apaG"	"missense"	"m1"	1	37500	29000	55552	42	"apaG"	4	2
"ksgA"	"missense"	"m1"	0.0588235294118	38500	1000	55991	13	"ksgA"	6	0
"ksgA"	"missense"	"m1"	0.0344827586207	44000	500	56378	6	"ksgA"	6	0
"ksgA"	"missense"	"m1"	0.0634920634921	36500	7500	56588	4	"ksgA"	6	0
"surA"	"missense"	"m1"	1	44000	35500	58701	20	"surA"	4	2
"imp"	"missense"	"m1"	1	44000	14500	59693	49	"imp"	7	3
"imp"	"missense"	"m1"	0.0833333333333	32000	30000	59932	8	"imp"	7	3
"hepA"	"missense"	"m1"	0.05	39500	39500	65199	1	"hepA"	6	2
"hepA"	"missense"	"m1"	0.015625	30000	4500	65951	3	"hepA"	6	2
"polB"	"missense"	"m1"	0.0185185185185	36500	36500	66413	1	"polB"	6	4
"polB"	"missense"	"m1"	1	37500	15000	67987	44	"polB"	6	4
"polB"	"missense"	"m1"	0.0166666666667	9500	9500	68198	1	"polB"	6	4
"araA"	"missense"	"m1"	1	37500	27000	70484	47	"araA"	9	8
"araA"	"missense"	"m1"	0.0909090909091	41000	39500	70681	6	"araA"	9	8
"araA"	"missense"	"m1"	0.3125	35000	30000	70783	13	"araA"	9	8
"araB"	"missense"	"m1"	0.054347826087	35500	10500	71868	5	"araB"	5	1
"araB"	"missense"	"m1"	0.558823529412	42000	26000	72188	19	"araB"	5	1
"yabI"	"promoter"	"m1"	0.235294117647	40000	10000	74122	11	"IR59"	3	1
"thiP"	"missense"	"m1"	0.0175438596491	28500	28500	76253	1	"thiP"	7	2
"thiP"	"missense"	"m1"	0.627450980392	45000	29000	77096	15	"thiP"	7	2
"thiP"	"missense"	"m1"	0.6	29000	27000	77302	20	"thiP"	7	2
"tbpA"	"missense"	"m1"	1	37500	27000	77408	47	"tbpA"	3	2
"tbpA"	"missense"	"m1"	0.333333333333	42500	41500	77512	12	"tbpA"	3	2
"yabN"	"missense"	"m1"	0.108695652174	33500	9000	79043	9	"sgrR"	9	1
"yabN"	"missense"	"m1"	0.188679245283	50000	41500	79571	6	"sgrR"	9	1
"yabN"	"missense"	"m1"	0.0689655172414	44000	5500	79637	10	"sgrR"	9	1
"setA"	"missense"	"m1"	0.0869565217391	41000	5000	80923	7	"setA"	6	2
"setA"	"missense"	"m1"	0.907407407407	48500	6000	81102	27	"setA"	6	2
"leuC"	"missense"	"m1"	0.0232558139535	12000	12000	82274	1	"leuC"	4	2
"leuA"	"missense"	"m1"	0.0983606557377	28500	27500	85984	3	"leuA"	6	0
"intergenic"	"intergenic"	"m1"	0.134615384615	48000	3000	86654	9	"IR69"	4	1
"leuO"	"missense"	"m1"	0.00980392156863	5000	5000	88012	1	"leuO"	2	0
"ilvI"	"missense"	"m1"	0.0632911392405	35000	10500	89822	6	"ilvI"	5	3
"ilvI"	"missense"	"m1"	1	37500	15000	90037	45	"ilvI"	5	3
"fruR"	"missense"	"m1"	0.00555555555556	10500	10500	90967	1	"fruR"	7	1
"yabB"	"promoter"	"m1"	0.939393939394	39000	9500	92372	36	"IR73"	6	0
"mraW"	"nonsense"	"m1"	0.163265306122	28500	27500	93837	4	"mraW"	3	0
"ftsL"	"missense"	"m1"	0.0789473684211	48000	47500	94128	4	"ftsL"	2	1
"ftsI"	"missense"	"m1"	0.0645161290323	8500	8500	94973	5	"ftsI"	10	4
"ftsI"	"missense"	"m1"	0.0512820512821	40500	5500	94985	5	"ftsI"	10	4
"ftsI"	"missense"	"m1"	0.175438596491	42500	41500	95124	5	"ftsI"	10	4
"ftsI"	"missense"	"m1"	0.469387755102	46000	35000	95831	18	"ftsI"	10	4
"murE"	"missense"	"m1"	0.246153846154	31500	29000	96840	5	"murE"	5	1
"murF"	"missense"	"m1"	0.659574468085	45000	17000	98071	34	"murF"	7	3
"murD"	"missense"	"m1"	0.941176470588	33000	21500	100218	46	"murD"	5	0
"murD"	"missense"	"m1"	0.0116279069767	46500	46500	100895	1	"murD"	5	0
"ftsW"	"missense"	"m1"	0.0681818181818	28500	6500	101442	6	"ftsW"	8	1
"murG"	"missense"	"m1"	0.09375	38000	5500	102716	6	"murG"	4	1
"ddl"	"missense"	"m1"	0.114285714286	47000	47000	105515	5	"ddlB"	4	1
"ftsZ"	"missense"	"m1"	0.0888888888889	11000	5000	108161	8	"ftsZ"	5	2
"ftsZ"	"missense"	"m1"	0.182795698925	6000	5500	108886	7	"ftsZ"	5	2
"ftsZ"	"missense"	"m1"	0.952380952381	44000	3000	109022	30	"ftsZ"	5	2
"yacA"	"missense"	"m1"	0.117647058824	20000	20000	110761	4	"secM"	3	0
"secA"	"missense"	"m1"	0.14953271028	32500	32000	111528	5	"secA"	6	4
"secA"	"missense"	"m1"	0.238805970149	31500	28500	111989	5	"secA"	6	4
"mutT"	"promoter"	"m1"	0.0571428571429	40000	24000	113794	3	"IR83"	2	0
"mutT"	"frameshift"	"m1"	1	37500	21000	114028	50	"mutT"	5	3
"intergenic"	"intergenic"	"m1"	0.0285714285714	10000	5500	114315	4	"IR84"	2	0
"coaE"	"missense"	"m1"	0.206896551724	35000	30000	115660	14	"coaE"	4	1
"coaE"	"promoter"	"m1"	0.103896103896	48500	27000	116101	5	"IR86"	4	0
"guaC"	"missense"	"m1"	1	37500	24500	116302	42	"guaC"	4	3
"hofC"	"nonsense"	"m1"	0.638888888889	46000	43500	117327	13	"hofC"	6	1
"hofC"	"missense"	"m1"	0.125	49000	7500	117555	12	"hofC"	6	1
"hofC"	"missense"	"m1"	0.354838709677	31500	1000	117940	21	"hofC"	6	1
"hofC"	"missense"	"m1"	0.878048780488	44000	37000	118051	27	"hofC"	6	1
"hofB"	"missense"	"m1"	0.142857142857	44500	39500	118571	6	"hofB"	8	4
"hofB"	"missense"	"m1"	0.0925925925926	42000	2500	119887	7	"hofB"	8	4
"ppdD"	"missense"	"m1"	0.0618556701031	33000	32000	120217	6	"ppdD"	3	0
"nadC"	"missense"	"m1"	0.0631578947368	46500	35500	120734	4	"nadC"	3	1
"ampE"	"missense"	"m1"	0.974358974359	43500	20500	122775	45	"ampE"	4	1
"ampE"	"missense"	"m1"	0.479166666667	43000	32500	122923	9	"ampE"	4	1
"aroP"	"missense"	"m1"	0.105263157895	48500	17500	123752	10	"aroP"	4	1
"aroP"	"promoter"	"m1"	0.181818181818	43000	18000	124422	6	"IR92"	3	1
"pdhR"	"missense"	"m1"	0.931818181818	33000	2500	125265	45	"pdhR"	4	0
"aceE"	"missense"	"m1"	0.9375	44000	1500	126070	44	"aceE"	7	2
"aceE"	"missense"	"m1"	0.230769230769	28500	26000	127515	9	"aceE"	7	2
"aceF"	"missense"	"m1"	0.22641509434	35000	32500	128537	8	"aceF"	4	1
"aceF"	"missense"	"m1"	0.4	40500	2500	128976	27	"aceF"	4	1
"aceF"	"missense"	"m1"	0.0666666666667	44500	44000	129259	7	"aceF"	4	1
"yacH"	"missense"	"m1"	0.0625	42000	18500	132539	7	"yacH"	6	4
"intergenic"	"intergenic"	"m1"	0.205128205128	40000	38000	134189	6	"IR96"	3	0
"acnB"	"missense"	"m1"	0.0952380952381	47000	45500	135038	5	"acnB"	4	1
"acnB"	"missense"	"m1"	0.272727272727	47500	45000	136519	6	"acnB"	4	1
"speE"	"promoter"	"m1"	0.559322033898	49500	17500	139321	30	"IR100"	2	0
"cueO"	"missense"	"m1"	1	44000	19000	140021	46	"cueO"	6	2
"intergenic"	"intergenic"	"m1"	0.0263157894737	23000	3000	141472	5	"IR102"	2	0
"yadF"	"missense"	"m1"	0.0752688172043	49500	49000	144957	3	"can"	6	1
"yadF"	"promoter"	"m1"	0.0967741935484	36500	35500	145491	4	"IR105"	8	3
"yadG"	"missense"	"m1"	0.142857142857	41000	9000	145785	9	"yadG"	9	3
"yadG"	"missense"	"m1"	0.0961538461538	50000	14000	145829	3	"yadG"	9	3
"yadG"	"missense"	"m1"	1	37500	28500	146285	44	"yadG"	9	3
"yadI"	"missense"	"m1"	0.0277777777778	15000	15000	147613	2	"yadI"	3	0
"yadE"	"promoter"	"m1"	0.340425531915	49500	48000	147831	5	"IR107"	2	0
"yadE"	"missense"	"m1"	0.186440677966	33500	32000	148774	4	"yadE"	6	2
"yadE"	"missense"	"m1"	0.0348837209302	50000	5500	148939	6	"yadE"	6	2
"yadD"	"missense"	"m1"	0.938775510204	40500	11500	150410	43	"yadD"	6	1
"panC"	"missense"	"m1"	0.208333333333	40000	12000	150864	6	"panC"	2	0
"panB"	"missense"	"m1"	0.0126582278481	49000	49000	151826	1	"panB"	3	0
"yadC"	"missense"	"m1"	0.0833333333333	36500	18000	152789	8	"ECB_00134"	4	1
"yadC"	"missense"	"m1"	0.90625	43500	34500	152863	32	"ECB_00134"	4	1
"yadC"	"missense"	"m1"	0.0645161290323	1500	1000	153223	8	"ECB_00134"	4	1
"yadK"	"missense"	"m1"	0.9	34000	22500	154388	47	"yadK"	4	0
